Name,Sale Price,Category,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Rating
Wicked,$6.11,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General > Best seller ranking: > # > 2598 >  > in > Books > # > 199 >  > in > Books > Literature & Fiction > # > 33 >  > in > Books > Literature & Fiction > General,http://www.walmart.com/ip/5750159,"Maguire, Gregory",1350964,538,HarperCollins,English,7.00 x 4.00 x 1.25 Inches,4.6
Zombie Survival Transport,$16.82,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Alien Contact,http://www.walmart.com/ip/56101212,Sean T. Page,1785211668,64,Haynes Publishing UK,English,,
"""A"" Is for Alibi: A Kinsey Millhone Mystery",$14.53,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",http://www.walmart.com/ip/10090209,Sue Grafton,2353814,320,St. Martin's PressSt. Martin's Griffin,English,8.16 x 142.49 x 22.35 Inches (US),
Legends and Liars,$13.85,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,http://www.walmart.com/ip/45844159,Julia Knight,6375014,400,Orbit,English,8.25 x 5.50 x 1.00 Inches (US),
Poison 2 (the Cartel Publications Presents),$15.00,Books > Literature & Fiction > Fiction > African American,http://www.walmart.com/ip/10986683,"Harris, K. D.Harris, Kd",0982391307,200,Cartel Publications,English,5.50 x 0.60 x 8.40 Inches,
Death Without Company : A Longmire Mystery,$11.00,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",http://www.walmart.com/ip/23782454,Craig Johnson,3124817,320,Penguin BooksPenguin Publishing Group,English,,
Gone Tomorrow: (Jack Reacher 13) (Audio CD),$18.03,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",http://www.walmart.com/ip/663346597,"Child, Lee, Shale, Kerry",184657160X,,Cornerstone,,,
Caramel Crush,$6.42,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",http://www.walmart.com/ip/55186532,Jenn McKinlay,9583812,304,BerkleyPenguin Publishing Group,English,,
Rotten to the Core,$7.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 71029 >  > in > Books > # > 976 >  > in > Books > Mystery & Suspense > # > 264 >  > in > Books > Mystery & Suspense > Women Sleuths",http://www.walmart.com/ip/10800031,Sheila Connolly,5228768,304,BerkleyPenguin Publishing Group,English,,
The Lord of the Rings : 50th Anniversary Edition,$60.80,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 331 >  > in > Books > # > 28 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Fantasy,http://www.walmart.com/ip/3061953,J.R.R. Tolkien,851765X,1184,Houghton Mifflin Harcourt,English,9.25 x 155.57 x 2.99 Inches (US),4.9412
The Couple Next Door,$13.59,Books > Literature & Fiction > Fiction > Psychological,http://www.walmart.com/ip/55772889,"Lapena, Shari",143284010X,435,Christian Large Print,,5.50 x 8.50 x 1.00 Inches,
GRAND OPENING 2: A FAMILY BUSINESS NOVEL -- AA,$13.72,Books > Literature & Fiction > Fiction > African American,http://www.walmart.com/ip/55545004,"WEBER, CARL",1622866045,288,Kensington Pub Corp,,6.50 x 9.25 x 1.25 Inches,
CANTO BIGHT (STAR WARS),$16.01,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,http://www.walmart.com/ip/56156637,"AHMED, SALADIN",152479953X,320,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,
Dark Curse,$7.18,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 13391 >  > in > Books > # > 327 >  > in > Books > Romance > # > 70 >  > in > Books > Romance > Paranormal,http://www.walmart.com/ip/10913834,Christine Feehan,514699X,464,BerkleyPenguin Publishing Group,English,6.81 x 4.19 x 1.22 Inches (US),5
PERSONAL: A JACK REACHERNOVEL,$8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",http://www.walmart.com/ip/43297301,"CHILD, LEE",4178753,544,Random House,English,7.50 x 4.25 x 1.25 Inches,
Dark Chocolate Demise,$7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 62234 >  > in > Books > # > 850 >  > in > Books > Mystery & Suspense > # > 218 >  > in > Books > Mystery & Suspense > Women Sleuths",http://www.walmart.com/ip/42083167,Jenn McKinlay,5258939,304,BerkleyPenguin Publishing Group,English,,
All Tomorrow's Parties,$7.03,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Cyberpunk,http://www.walmart.com/ip/1984089,William Gibson,5190441,352,BerkleyPenguin Publishing Group,English,,
The Kremlin Conspiracy,$21.61,Books > Summer Reading Books > Beach Reads,http://www.walmart.com/ip/607879856,Joel C. Rosenberg,1496406176,480,"Tyndale House Publishers, Inc.",English,9.00 x 6.00 x 1.25 Inches,
Dragons of Autumn Twilight,$7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,http://www.walmart.com/ip/718628,"Weis, MargaretHickman, Tracy",6915747,444,Wizards of the Coast,English,6.75 x 4.25 x 1.25 Inches,
The High Druid's Blade,$7.19,Books > Literature & Fiction > Fiction > Action & Adventure,http://www.walmart.com/ip/43770634,"Brooks, Terry",5540780,370,Random House,English,7.00 x 4.25 x 1.25 Inches,
Is It Wrong to Try to Pick Up Girls in a Dungeon?,$13.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,http://www.walmart.com/ip/47700663,Fujino Omori,031631479X,288,Yen PressYen On,,,
Hellhole Awakening,$8.76,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,http://www.walmart.com/ip/26887256,Kevin J. AndersonBrian Herbert,5362596,672,Tom Doherty AssociatesTor Science Fiction,English,6.75 x 103.63 x 36.96 Inches (US),
The Rise of Endymion,$8.34,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,http://www.walmart.com/ip/402989,"Simmons, Dan",3572983,720,Random House,English,6.75 x 4.25 x 1.25 Inches,
The Last Herald-Mage Trilogy,$15.05,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,http://www.walmart.com/ip/46769037,Mercedes Lackey,6411387,880,DAW,,8.99 x 5.97 x 1.81 Inches (US),
15TH AFFAIR,$8.58,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",http://www.walmart.com/ip/55342676,James PattersonMaxine Paetro,5585287,400,Grand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),
Star Wars,$7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,http://www.walmart.com/ip/2682298,"Traviss, Karen",5478278,304,Random House,English,7.00 x 4.25 x 0.75 Inches,
Sea of Sorrows,$7.99,Books > Literature & Fiction > Fiction > Media Tie-Ins,http://www.walmart.com/ip/32630572,"Moore, James A.",1162709,351,Random House,English,7.00 x 4.25 x 1.00 Inches,
NINE DRAGONS,$9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",http://www.walmart.com/ip/13725254,Michael Connelly,6561953,480,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),3
