Name,Sale Price,Category,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Rating
The Mongrel Mage,$17.13,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/56077011,"L. E. Modesitt, Jr.",0765394685,560,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 44.96 Inches (US),
The Venetian Betrayal,$8.00,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 64250 >  > in > Books > # > 86 >  > in > Books > New Releases > # > 83 >  > in > Books > New Releases > New & Noteworthy",https://www.walmart.com/ip/9850669,"Berry, Steve",5485788,558,Random House,English,7.50 x 4.25 x 1.50 Inches,5
Glow of Death,$7.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",https://www.walmart.com/ip/52573669,Jane K. Cleland,0102979,304,St. Martin's PressMinotaur Books,English,213.61 x 5.62 x 25.15 Millimeters,
The Turner House,$13.09,Books > Literature & Fiction > Fiction > Literary,https://www.walmart.com/ip/48587049,Angela Flournoy,4705162,352,Houghton Mifflin HarcourtMariner Books,,203.20 x 5.31 x 0.91 Millimeters,
The Girl Who Kicked the Hornet's Nest,$8.74,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 2828 >  > in > Books > # > 217 >  > in > Books > Literature & Fiction > # > 31 >  > in > Books > Literature & Fiction > Mystery & Suspense",https://www.walmart.com/ip/17799850,"Larsson, Stieg",7742537,820,Random House,English,7.50 x 4.25 x 2.00 Inches,4.6
Utah Blaine & Silver Canyon,$5.99,Books > Literature & Fiction > Fiction > Westerns,https://www.walmart.com/ip/8462489,"L'Amour, Louis",3591828,205,Random House,English,7.00 x 4.25 x 1.25 Inches,
The Child,$11.01,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological",https://www.walmart.com/ip/421239949,Fiona Barton,110199049X,400,BerkleyPenguin Publishing Group,English,8.25 x 5.50 x 1.00 Inches (US),
Supernatural,$7.70,Books > Literature & Fiction > Fiction > Media Tie-Ins,https://www.walmart.com/ip/51330799,"Navarro, Yvonne",3298566,330,Random House,English,7.00 x 4.25 x 1.00 Inches,
The People vs. Alex Cross,$19.37,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",https://www.walmart.com/ip/56087784,James Patterson,1478923326,0,Hachette Audio,English,,
SHATTERED MEMORIES,$6.80,Books > Literature & Fiction > Fiction > Sagas,https://www.walmart.com/ip/55623540,V.C. Andrews,1476792380,432,Pocket Books,English,6.75 x 104.78 x 25.40 Inches (US),
Preacher's Massacre,$7.48,Books > Literature & Fiction > Fiction > Westerns,https://www.walmart.com/ip/20930960,"Johnstone, William W.",6031060,345,Kensington Pub Corp,English,7.00 x 4.00 x 1.00 Inches,
The Bear and the Nightingale,$17.84,Books > Literature & Fiction > Fiction > Literary,https://www.walmart.com/ip/53596259,"Arden, Katherine",1885933,322,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,5
Low Tide,$9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",https://www.walmart.com/ip/53354247,"Mckenna, Dawn Lee",0692466339,188,Lightning Source Inc,English,5.00 x 8.00 x 0.75 Inches,
Leaving Atlanta,$3.99,Books > Literature & Fiction > Fiction > Urban,https://www.walmart.com/ip/25243469,Tayari Jones,6690897,272,Grand Central Publishing,English,,
The Spy Who Came in from the Cold : A George Smiley Novel,$13.33,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage",https://www.walmart.com/ip/24057008,John le Carr,3124754,240,Penguin BooksPenguin Publishing Group,English,,
CHRISTMAS CARAMEL MURDER,$5.75,Books > Walmart Best Sellers,https://www.walmart.com/ip/55960420,"FLUKE, JOANNE",1617732303,0,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,
Consider Phlebas,$15.63,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,https://www.walmart.com/ip/5794324,Iain M. Banks,031600538X,544,Orbit,English,8.38 x 5.50 x 1.50 Inches (US),
61 Hours,$13.10,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 31024 >  > in > Books > # > 395 >  > in > Books > Mystery & Suspense > # > 148 >  > in > Books > Mystery & Suspense > Thrillers",https://www.walmart.com/ip/15265445,"Hill, DickChild, Lee",030793313X,,Random House,English,5.25 x 6.00 x 1.25 Inches,
French Silk,$8.84,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",https://www.walmart.com/ip/24595577,Sandra Brown,5574322,576,Grand Central Publishing,English,6.75 x 4.25 x 1.25 Inches (US),
A Winter Dream,$3.49,Books > Literature & Fiction > Fiction > Holidays,https://www.walmart.com/ip/20561488,Richard Paul Evans,145162803X,288,Simon &amp; Schuster,English,7.00 x 127.00 x 25.40 Inches (US),5
"Dark in Death: An Eve Dallas Novel (In Death, Book 46)",$23.83,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",https://www.walmart.com/ip/56088903,J.D. Robb,1250161533,384,St. Martin's Press,English,9.25 x 155.57 x 1.50 Inches (US),
The White Gryphon,$8.97,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/232709,Mercedes LackeyLarry Dixon,6776827,400,DAW,English,6.78 x 4.21 x 1.04 Inches (US),
After the Storm,$6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",https://www.walmart.com/ip/50091193,Linda Castillo,0078323,384,St. Martin's PressMinotaur Books,English,6.75 x 107.19 x 26.92 Inches (US),
Sweet Nothings,$5.68,Books > Literature & Fiction > Fiction > Romance > Contemporary,https://www.walmart.com/ip/5582973,"Anderson, Catherine",1220697,456,Berkley Pub Group,English,6.75 x 4.25 x 1.25 Inches,5
Death's Mistress,$22.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/54360903,Terry Goodkind,5388216,512,Tom Doherty AssociatesTor Books,English,9.40 x 6.48 x 38.86 Inches (US),
Death in Paradise,$8.60,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Private Investigators > Best seller ranking: > # > 47041 >  > in > Books > # > 622 >  > in > Books > Mystery & Suspense > # > 26 >  > in > Books > Mystery & Suspense > Police Procedural",https://www.walmart.com/ip/1927334,Robert B. Parker,5187067,320,Penguin Publishing GroupG.P. Putnam's Sons,English,,
Smokin' Seventeen,$13.26,Books > Literature & Fiction > Fiction > Romance > General,https://www.walmart.com/ip/17614642,"Evanovich, JanetKing, Lorelei",044900953X,,Random House,English,5.00 x 6.00 x 1.25 Inches,
Before They Are Hanged,$13.87,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/45144418,Joe Abercrombie,638735X,560,Orbit,English,9.25 x 6.00 x 1.50 Inches (US),
The Desert Spear,$8.34,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/14672516,"Brett, Peter V.",5524140,658,Random House,English,7.00 x 4.00 x 1.25 Inches,
Kindred,$12.28,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 9345 >  > in > Books > # > 856 >  > in > Books > Literature & Fiction > # > 55 >  > in > Books > Literature & Fiction > Science Fiction,https://www.walmart.com/ip/2322884,"Butler, Octavia E.",7083696,499,Random House Inc,English,8.00 x 5.50 x 1.00 Inches,5
Agent 6,$14.03,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",https://www.walmart.com/ip/20931169,Tom Rob Smith,6583081,544,Grand Central Publishing,English,8.12 x 5.25 x 1.50 Inches (US),
Demon Seed,$7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",https://www.walmart.com/ip/10887231,Dean Koontz,5228967,320,BerkleyPenguin Publishing Group,English,,
The Ghost War,$7.74,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage",https://www.walmart.com/ip/10181141,Alex Berenson,5145823,576,Penguin Publishing GroupG.P. Putnam's Sons,English,7.50 x 4.18 x 1.12 Inches (US),4
COUNT OF MONTE CRISTO,$5.28,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 4274 >  > in > Books > # > 328 >  > in > Books > Literature & Fiction > # > 21 >  > in > Books > Literature & Fiction > Classics,https://www.walmart.com/ip/405744,"DUMAS, ALEXANDER",3213503,544,Bantam Classic &amp; Loveswept,English,6.75 x 4.25 x 1.00 Inches,5
Murder in Mesopotamia,$11.33,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional",https://www.walmart.com/ip/15906968,"Christie, Agatha",2073903,264,HarperCollins,English,8.00 x 5.50 x 1.00 Inches,
No Middle Name,$15.34,Books > Walmart Best Sellers,https://www.walmart.com/ip/55344308,"Child, Lee",9593574,418,Random House Inc,English,9.25 x 6.00 x 1.50 Inches,
The Fiery Cross (Outlander Volume 5) (Mass Market Paperback),$8.18,Books > Literature & Fiction > Fiction > Historical > Best seller ranking: > # > 291 >  > in > Books > # > 23 >  > in > Books > Literature & Fiction > # > 2 >  > in > Books > Literature & Fiction > Historical,https://www.walmart.com/ip/3868274,Diana Gabaldon,0221663,1443,Bantam Dell,English,6.75 x 4.10 x 2.00 Inches,5
Tigerman,$13.56,Books > Literature & Fiction > Fiction > Action & Adventure,https://www.walmart.com/ip/43379021,"Harkaway, Nick",4170665,337,Random House Inc,English,5.25 x 8.25 x 0.75 Inches,
Drama High: Rogue,$9.95,Books > Literature & Fiction > Fiction > Literary,https://www.walmart.com/ip/53399380,"Divine, L.",0985736844,240,"Ebb &amp; Flow Publications/L. Divine, Incorporat",English,6.00 x 0.51 x 9.00 Inches,
Dark Tower V: Wolves of the Calla,$16.22,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Dark Fantasy,https://www.walmart.com/ip/2540216,Stephen King,0743251628,736,Scribner,English,8.38 x 139.70 x 45.72 Inches (US),5
Betrayed,$6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Legal",https://www.walmart.com/ip/55600076,Lisa Scottoline,0027698,384,St. Martin's PressSt. Martin's Paperbacks,English,178.05 x 110.24 x 1.01 Millimeters,
"In a Dark, Dark Wood",$31.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",https://www.walmart.com/ip/47323942,"Ware, Ruth",141048498X,469,Thorndike Pr,English,5.00 x 8.00 x 1.00 Inches,
Arcanum Unbounded: The Cosmere Collection,$20.64,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/52099905,Brandon Sanderson,5391166,672,Tom Doherty AssociatesTor Books,English,9.56 x 6.46 x 50.29 Inches (US),
Lord John and the Hand of Devils: 3 (Lord John Grey) (Paperback),$15.23,Books > Literature & Fiction > Fiction > Historical,https://www.walmart.com/ip/738055887,"Gabaldon, Diana",0099278251,400,"Arrow Books Ltd, Cornerstone",English,1.00 x 4.30 x 7.00 Inches,
Lee Child,$9.40,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 4795 >  > in > Books > # > 30 >  > in > Books > Mystery & Suspense > # > 16 >  > in > Books > Mystery & Suspense > Thrillers",https://www.walmart.com/ip/10970462,"Child, Lee",,484,Random House,English,5.50 x 0.50 x 7.44 Inches,5
Zoe's Tale,$7.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,https://www.walmart.com/ip/10753000,"Scalzi, John",535619X,406,Tor Books,English,6.75 x 4.00 x 1.25 Inches,1
Acacia,$7.58,Books > Literature & Fiction > Fiction > Historical > Best seller ranking: > # > 215848 >  > in > Books > # > 260 >  > in > Books > New Releases > # > 251 >  > in > Books > New Releases > New & Noteworthy,https://www.walmart.com/ip/9603732,"Durham, David Anthony",5722524,753,Random House,English,7.25 x 4.50 x 1.75 Inches,
Fearless Fourteen,$22.21,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",https://www.walmart.com/ip/45760954,Janet Evanovich,1427270562,,Macmillan Audio,English,1.00 x 1.00 x 1.00 Inches (US),
EMPIRE'S END: AFTERMATH (STAR WARS),$6.08,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,https://www.walmart.com/ip/56022454,"WENDIG, CHUCK",110196698X,512,Random House,English,7.50 x 4.00 x 1.00 Inches,
The Death Factory,$3.99,Books > Literature & Fiction > Fiction > Short Stories,https://www.walmart.com/ip/37501803,"Iles, Greg",006233669X,104,HarperCollins,English,6.75 x 4.25 x 0.25 Inches,
A Memory of Light,$13.56,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/45969081,Robert JordanBrandon Sanderson,5337858,912,Tom Doherty AssociatesTor Books,English,9.10 x 6.16 x 1.55 Inches (US),
Kindred,$17.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,https://www.walmart.com/ip/10764637,"Butler, Octavia E.",7083104,264,Random House Inc,English,8.25 x 5.75 x 1.25 Inches,
The Deep Dark Descending,$9.79,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",https://www.walmart.com/ip/55858656,Allen Eskens,1633883558,285,Seventh Street Books,English,8.25 x 5.50 x 1.00 Inches,
Without Fail: (Jack Reacher 6) (Audio CD),$20.26,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",https://www.walmart.com/ip/650983757,"Child, Lee, Shale, Kerry",1846572436,,Cornerstone,,,
Whitefern,$5.57,Books > Literature & Fiction > Fiction > Psychological,https://www.walmart.com/ip/49742601,V.C. Andrews,1139402,368,Pocket Books,English,6.75 x 104.78 x 1.10 Inches (US),5
Scarpetta : Scarpetta (Book 16),$13.32,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",https://www.walmart.com/ip/15977768,Patricia Cornwell,161176033X,,Penguin AudioPenguin Random House Audio Publishing Group,English,5.90 x 5.10 x 1.20 Inches (US),
Strip Search,$13.81,Books > Literature & Fiction > Fiction > Romance > Contemporary,https://www.walmart.com/ip/22043801,Shayla Black,5268224,384,BerkleyPenguin Publishing Group,English,,
Wrath,$13.87,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Dark Fantasy,https://www.walmart.com/ip/50554632,John Gwynne,6386340,736,Orbit,English,9.25 x 6.12 x 1.88 Inches (US),
BREAKING POINT,$9.99,Books > Women's History Month Books > Women's History Month Fiction,https://www.walmart.com/ip/338580883,"BRENNAN, ALLISON",1250164443,448,St. Martin's PressMinotaur Books,,,
Warheart,$9.40,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/52867497,Terry Goodkind,5383092,480,Tom Doherty AssociatesTor Fantasy,English,6.78 x 4.29 x 1.26 Inches (US),
"Paper Girls, Volume 1",$9.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,https://www.walmart.com/ip/49524370,Brian K. Vaughan,2156743,144,Image Comics,English,10.00 x 6.50 x 0.25 Inches,
The Demon Crown,$15.94,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",https://www.walmart.com/ip/55971815,"Rollins, James",0062381733,441,HarperCollins,English,9.30 x 6.50 x 1.40 Inches,
Pleasure of a Dark Prince,$7.99,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 9253 >  > in > Books > # > 184 >  > in > Books > Romance > # > 36 >  > in > Books > Romance > Paranormal,https://www.walmart.com/ip/10971892,Kresley Cole,6580955,448,Pocket Books,English,6.75 x 4.19 x 1.10 Inches (US),5
A Call to Arms,$8.12,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,https://www.walmart.com/ip/49742970,Timothy  ZahnDavid WeberThomas Pope,678156X,496,Baen,English,6.75 x 104.78 x 25.40 Inches (US),
A Feast for Crows,$20.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 2265 >  > in > Books > # > 163 >  > in > Books > Literature & Fiction > # > 22 >  > in > Books > Literature & Fiction > Fantasy,https://www.walmart.com/ip/1955935,"Martin, George R. R.",3801504,753,Random House Inc,English,6.25 x 9.25 x 1.75 Inches,5
LONESOME GODS,$5.99,Books > Literature & Fiction > Fiction > Westerns,https://www.walmart.com/ip/405370,"L'AMOUR, LOUIS",3275182,576,Random House,English,7.00 x 4.50 x 1.50 Inches,5
Creation in Death,$7.19,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 24161 >  > in > Books > # > 296 >  > in > Books > Mystery & Suspense > # > 77 >  > in > Books > Mystery & Suspense > Women Sleuths,https://www.walmart.com/ip/8199936,J. D. Robb,5221029,384,BerkleyPenguin Publishing Group,English,6.75 x 4.19 x 1.06 Inches (US),5
Rise of the Horde,$10.77,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,https://www.walmart.com/ip/54360106,"Golden, Christie",9700132,355,Pgw,English,9.00 x 6.00 x 1.00 Inches,
WORTH DYING FOR: A REACHER NOVEL,$8.23,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 7680 >  > in > Books > # > 693 >  > in > Books > Literature & Fiction > # > 128 >  > in > Books > Literature & Fiction > General",https://www.walmart.com/ip/15227310,"CHILD, LEE",0246295,544,Random House,English,7.40 x 4.10 x 1.50 Inches,
Succubus Shadows (Georgina Kincaid Book 5) (Paperback),$14.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,https://www.walmart.com/ip/802252084,"Mead, Richelle",3820312,,Transworld Publishers Ltd,,,
Fifty Fifty,$22.90,Books > Mother's Day Books > Mother's Day Literature & Fiction Books,https://www.walmart.com/ip/56144374,James PattersonCandice Fox,0316513237,528,"Little, Brown and Company",English,9.62 x 6.50 x 1.62 Inches (US),
Dandelion Wine,$12.57,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,https://www.walmart.com/ip/25666120,"Colonial Radio Theatre on the AirBradbury, RayRobbins, Jerry",0786165820,2,Blackstone Pub,English,6.00 x 5.00 x 0.50 Inches,
The Big Sleep,$13.45,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Hard-Boiled > Best seller ranking: > # > 29142 >  > in > Books > # > 369 >  > in > Books > Mystery & Suspense > # > 69 >  > in > Books > Mystery & Suspense > General",https://www.walmart.com/ip/455118,"Chandler, Raymond",4758282,240,Random House Inc,English,5.25 x 7.75 x 0.50 Inches,
The Last Wish,$7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 3284 >  > in > Books > # > 254 >  > in > Books > Literature & Fiction > # > 27 >  > in > Books > Literature & Fiction > Fantasy,https://www.walmart.com/ip/8131253,Andrzej Sapkowski,6029182,384,Orbit,English,6.75 x 4.12 x 1.00 Inches (US),4
Ringworld,$7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,https://www.walmart.com/ip/470347,"Niven, Larry",5333921,352,Random House,English,6.75 x 4.25 x 1.00 Inches,5
"ALAS, BABYLON",$12.06,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,https://www.walmart.com/ip/3389393,PAT FRANK,0741872,352,Harpercollins,English,5.25 x 8.00 x 1.00 Inches,5
The Hunt for Red October,$8.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",https://www.walmart.com/ip/14289657,Tom Clancy,524033X,656,BerkleyPenguin Publishing Group,English,7.50 x 4.25 x 1.38 Inches (US),
GREAT GATSBY,$10.48,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 196 >  > in > Books > # > 16 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > Classics,https://www.walmart.com/ip/3362627,F. Scott Fitzgerald,3273562,192,Scribner,English,203.20 x 5.25 x 0.40 Millimeters,4.8333
Twisted,$13.25,Books > Literature & Fiction > Fiction > Romance > Contemporary,https://www.walmart.com/ip/56100596,"Hardt, Helen",1943893241,290,Ingram Pub Services,English,7.75 x 5.25 x 1.00 Inches,
DARK MAGIC,$4.78,Books > Literature & Fiction > Fiction > Romance > General > Best seller ranking: > # > 7002 >  > in > Books > # > 121 >  > in > Books > Romance > # > 4 >  > in > Books > Romance > Fantasy,https://www.walmart.com/ip/15528404,"FEEHAN, CHRISTINE",0062019511,400,HarperCollins,English,7.00 x 4.25 x 1.00 Inches,
Cursor's Fury,$9.28,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/5770768,Jim Butcher,1015479,704,AcePenguin Publishing Group,English,7.56 x 4.31 x 1.41 Inches (US),
Virgin River,$7.99,Books > Literature & Fiction > Fiction > Romance > Contemporary > Best seller ranking: > # > 13171 >  > in > Books > # > 319 >  > in > Books > Romance > # > 113 >  > in > Books > Romance > Contemporary,https://www.walmart.com/ip/21122376,"Carr, Robyn",8314152,423,Harlequin Books,English,6.50 x 4.00 x 1.00 Inches,
Brotherhood in Death,$6.39,Books > Literature & Fiction > Fiction > Romance > Suspense,https://www.walmart.com/ip/52100236,J. D. Robb,5279000,400,BerkleyPenguin Publishing Group,English,6.75 x 4.19 x 1.06 Inches (US),
A Dark and Stormy Night,$9.99,Books > Literature & Fiction > Fiction > Classics,https://www.walmart.com/ip/53276482,"Byron, Lord George GordonShelley, MaryPolidori, William John",1617209074,210,Wilder Publications,English,6.00 x 0.48 x 9.00 Inches,
Dead Beat,$8.01,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Paranormal,https://www.walmart.com/ip/4662531,Jim Butcher,045146091X,528,RocPenguin Publishing Group,English,7.56 x 4.25 x 1.13 Inches (US),
Voyager (Outlander Volume 3) (Mass Market Paperback),$9.52,Books > Literature & Fiction > Fiction > Romance > Historical > Best seller ranking: > # > 766 >  > in > Books > # > 14 >  > in > Books > Romance > # > 5 >  > in > Books > Romance > Contemporary,https://www.walmart.com/ip/446164,Diana Gabaldon,0217568,1072,Bantam Dell,English,6.90 x 4.25 x 1.75 Inches,5
Dragon Fate : Book Six of The Age of Fire,$8.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/21050382,E.E. Knight,1414886,384,AcePenguin Publishing Group,English,6.90 x 4.30 x 1.00 Inches (US),
The California Trail,$5.98,Books > Literature & Fiction > Fiction > Westerns,https://www.walmart.com/ip/473951,Ralph Compton,0312951698,384,St. Martin's PressSt. Martin's Paperbacks,English,172.72 x 107.70 x 20.07 Millimeters,
The Complete Aliens Omnibus,$8.99,Books > Literature & Fiction > Fiction > Media Tie-Ins,https://www.walmart.com/ip/50250499,"Sheckley, RobertBischoff, David",3299030,621,Random House,English,7.00 x 4.25 x 1.25 Inches,
Bone Crossed,$6.80,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Urban,https://www.walmart.com/ip/11976839,Patricia Briggs,044101836X,304,AcePenguin Publishing Group,English,,5
The Daughter of Time,$9.98,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime",https://www.walmart.com/ip/376640,Josephine Tey,4803869,208,Touchstone,English,203.20 x 5.25 x 12.70 Millimeters,
The Book of the Dead,$9.85,Books > Literature & Fiction > Fiction > Action & Adventure,https://www.walmart.com/ip/29269258,Douglas PrestonLincoln Child,145558293X,640,Grand Central Publishing,English,7.62 x 4.25 x 1.38 Inches (US),
Hell's Foundations Quiver,$7.48,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,https://www.walmart.com/ip/50554266,David Weber,5361550,1088,Tom Doherty AssociatesTor Science Fiction,English,173.48 x 105.92 x 44.20 Millimeters,
Ender's Game Gift Edition,$16.14,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,https://www.walmart.com/ip/55832644,Orson Scott Card,1250174465,256,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 23.62 Inches (US),
Big Little Lies,$11.92,Books > Literature & Fiction > Fiction > Contemporary Women,https://www.walmart.com/ip/46681033,"Moriarty, Liane",413906X,680,Thorndike Press,,,
Illidan,$7.19,Books > Literature & Fiction > Fiction > Action & Adventure,https://www.walmart.com/ip/54785434,"King, William",9177576,353,Random House,English,7.00 x 4.25 x 1.25 Inches,
Gods of Dawn,$13.23,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,https://www.walmart.com/ip/55678067,Steve White,1481482572,224,Baen,English,9.25 x 155.57 x 15.24 Inches (US),
Starless Night,$7.97,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/8153774,"Salvatore, R. A.",6948615,369,Wizards of the Coast,English,7.00 x 4.25 x 1.00 Inches,
The Lay of Aotrou and Itroun,$15.39,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,https://www.walmart.com/ip/55963109,J.R.R. Tolkien,1328834549,128,Houghton Mifflin Harcourt,English,8.25 x 139.70 x 0.62 Inches (US),
Life of Pi,$10.09,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 2092 >  > in > Books > # > 151 >  > in > Books > Literature & Fiction > # > 2 >  > in > Books > Literature & Fiction > Action & Adventure,https://www.walmart.com/ip/2031251,Yann Martel,6027321,336,Houghton Mifflin HarcourtMariner Books,English,203.20 x 5.31 x 0.91 Millimeters,4.5
Sooner or Later,$7.51,Books > Literature & Fiction > Fiction > Romance > Contemporary,https://www.walmart.com/ip/713730,"Macomber, Debbie",108345X,352,HarperCollins,English,7.00 x 4.00 x 1.00 Inches,5
The World of Robert Jordan's the Wheel of Time,$22.22,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,https://www.walmart.com/ip/1245634,Teresa PattersonRobert Jordan,2869362,304,Tom Doherty AssociatesTor Books,English,276.86 x 217.68 x 21.34 Millimeters,5
The Hippopotamus Pool,$10.27,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",https://www.walmart.com/ip/22898614,Elizabeth Peters,145557239X,512,Grand Central Publishing,English,7.62 x 4.25 x 1.12 Inches (US),
Dark Rites,$6.53,Books > Literature & Fiction > Fiction > Romance > Fantasy,https://www.walmart.com/ip/55600719,Heather Graham,077831992X,384,Mira,English,6.75 x 4.25 x 1.00 Inches,
Passage to Dawn,$7.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 37765 >  > in > Books > # > 58 >  > in > Books > New Releases > # > 55 >  > in > Books > New Releases > New & Noteworthy,https://www.walmart.com/ip/8590508,"Salvatore, R. A.",6949116,375,Wizards of the Coast,English,7.00 x 4.00 x 1.00 Inches,
