Name,Sale Price,Category,Availability,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Everything I Never Told You Paperback – May 12, 2015",$12.80,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0143127551,Celeste Ng,0143127551,297 pages,"Penguin Books; Reprint edition (May 12, 2015)",English,5.1 x 0.6 x 7.8 inches,8 ounces,4.1 out of 5 stars
"Palace of Treason: A Novel (The Red Sparrow Trilogy) Paperback – June 13, 2017",$9.34,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/147679376X,Jason Matthews,147679376X,496 pages,"Scribner; Reprint edition (June 13, 2017)",English,5.2 x 1 x 8 inches,13.4 ounces,4.6 out of 5 stars
"The Rooster Bar Hardcover – October 24, 2017",$15.28,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0385541171,John Grisham,0385541171,,"Doubleday; 1st Edition edition (October 24, 2017)",English,6.4 x 1.2 x 9.5 inches,1.4 pounds,3.7 out of 5 stars
"Holy Ghost Hardcover – October 2, 2018",$26.10,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","This title will be released on October 2, 2018.",http://www.amazon.com/gp/product/0735217327,John Sandford,0735217327,,"G.P. Putnam's Sons (October 2, 2018)",English,6 x 1.2 x 9 inches,1.4 pounds,
"Lord of the Flies Mass Market Paperback – Antique Books, December 16, 2003",$8.89,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0399501487,William Golding,0399501487,224 pages,"Penguin Books; Reissue edition (December 16, 2003)",English,4.2 x 0.6 x 7.6 inches,4 ounces,4.2 out of 5 stars
"The Masterpiece Hardcover – February 6, 2018",$17.10,Books > Christian Books & Bibles > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/1496407903,Francine Rivers,1496407903,,"Tyndale House Publishers, Inc. (February 6, 2018)",English,5.7 x 1.8 x 8.9 inches,1.6 pounds,4.8 out of 5 stars
"The Wife Between Us: A Novel Hardcover – January 9, 2018",$16.19,Books > Literature & Fiction > Women's Fiction,In Stock.,http://www.amazon.com/gp/product/1250130921,Greer HendricksSarah Pekkanen,1250130921,,"St. Martin's Press (January 9, 2018)",English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4.2 out of 5 stars
"To Kill a Mockingbird Paperback – July 5, 2005",$8.99,Books > Literature & Fiction > Classics,In Stock.,http://www.amazon.com/gp/product/0060935464,Harper Lee,0060935464,336 pages,Harper Perennial Modern Classics (2002),English,5.2 x 1 x 8.2 inches,9 ounces,4.7 out of 5 stars
"Annihilation: A Novel (The Southern Reach Trilogy) Paperback – February 4, 2014",$8.41,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0374104093,Jeff VanderMeer,0374104093,208 pages,"FSG Originals; First Edition edition (February 4, 2014)",English,5.1 x 0.6 x 7.5 inches,5.6 ounces,3.6 out of 5 stars
"The Light We Lost Paperback – February 6, 2018",$10.07,Books > Literature & Fiction > Women's Fiction,In Stock.,http://www.amazon.com/gp/product/0735212767,Jill Santopolo,0735212767,352 pages,"G.P. Putnam's Sons; Reprint edition (February 6, 2018)",English,5.1 x 0.9 x 8 inches,9.4 ounces,4.2 out of 5 stars
"The Handmaid's Tale Paperback – March 16, 1998",$9.59,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/038549081X,Margaret Atwood,038549081X,311 pages,"Anchor; 1st Anchor Books edition (March 16, 1998)",English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1 out of 5 stars
"The Great Gatsby Paperback – September 30, 2004",$10.49,Books > Literature & Fiction > Classics,In Stock.,http://www.amazon.com/gp/product/0743273567,F. Scott Fitzgerald,0743273567,180 pages,"Scribner (September 30, 2004)",English,5.2 x 0.4 x 8 inches,5.6 ounces,4.3 out of 5 stars
"Still Me: A Novel Hardcover – January 30, 2018",$17.70,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0399562451,Jojo Moyes,0399562451,,"Pamela Dorman Books (January 30, 2018)",English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4.7 out of 5 stars
"Past Tense: A Jack Reacher Novel Hardcover – November 5, 2018",$26.09,Books > Literature & Fiction > Action & Adventure,"This title will be released on November 5, 2018.",http://www.amazon.com/gp/product/0399593519,Lee Child,0399593519,,"Delacorte Press (November 5, 2018)",English,6 x 1 x 9 inches,1.4 pounds,
"Red Sparrow: A Novel (The Red Sparrow Trilogy) Mass Market Paperback – February 20, 2018",$8.30,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1501168916,Jason Matthews,1501168916,576 pages,"Pocket Books; Media Tie-In edition (February 20, 2018)",English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4 out of 5 stars
"The Outsider Hardcover – May 22, 2018",$19.49,Books > Literature & Fiction > Genre Fiction,"This title will be released on May 22, 2018.",http://www.amazon.com/gp/product/1501180983,Stephen King,1501180983,,"Scribner (May 22, 2018)",English,6.1 x 9.2 inches,12 pounds,
"Go the F**k to Sleep Hardcover – June 14, 2011",$12.35,Books > Humor & Entertainment > Humor,In Stock.,http://www.amazon.com/gp/product/1617750255,Adam MansbachRicardo Cortés,1617750255,,"Akashic Books; 1st edition (June 14, 2011)",English,8.5 x 0.2 x 6.5 inches,7.2 ounces,4.7 out of 5 stars
"The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback – September 25, 2012",$22.99,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0345538374,J.R.R. Tolkien,0345538374,1728 pages,"Del Rey (September 25, 2012)",English,4.2 x 4.3 x 7 inches,2 pounds,4.7 out of 5 stars
"High Voltage (Fever) Hardcover – March 6, 2018",$18.30,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/0399593667,Karen Marie Moning,0399593667,,"Delacorte Press (March 6, 2018)",English,6.2 x 1.5 x 9.5 inches,1.6 pounds,4.7 out of 5 stars
"Oathbringer: Book Three of the Stormlight Archive Hardcover – November 14, 2017",$21.21,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/076532637X,Brandon Sanderson,076532637X,,"Tor Books (November 14, 2017)",English,6.4 x 2.3 x 9.6 inches,3 pounds,4.6 out of 5 stars
"Dungeons & Dragons Starter Set Book Supplement – July 15, 2014",$16.97,Books > Humor & Entertainment > Puzzles & Games,In Stock.,http://www.amazon.com/gp/product/0786965592,Wizards RPG Team,0786965592,,"Wizards of the Coast; Brdgm edition (July 15, 2014)",English,9.1 x 2.1 x 11.6 inches,1 pounds,4.5 out of 5 stars
"Chronicles of Narnia Box Set Paperback – Box set, October 19, 2010",$30.64,Books > Children's Books > Science Fiction & Fantasy,In Stock.,http://www.amazon.com/gp/product/0061992887,C. S. Lewis,0061992887,,"HarperCollins Narnia; Media Tie In edition (October 19, 2010)",English,4.3 x 4.3 x 7 inches,1.6 pounds,4.7 out of 5 stars
"Brave New World Paperback – October 17, 2006",$12.99,Books > Science Fiction & Fantasy > Science Fiction,In Stock.,http://www.amazon.com/gp/product/0060850523,Aldous Huxley,0060850523,288 pages,"Harper Perennial; Reprint edition (October 18, 2006)",English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2 out of 5 stars
"Sword Coast Adventurer's Guide (D&D Accessory) Hardcover – November 3, 2015",$29.29,Books > Humor & Entertainment > Puzzles & Games,In Stock.,http://www.amazon.com/gp/product/0786965800,Wizards RPG Team,0786965800,,"Wizards of the Coast (November 3, 2015)",English,8.5 x 0.5 x 11.2 inches,1.3 pounds,4.0 out of 5 stars
"The Shape of Water Hardcover – March 6, 2018",$18.59,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1250165342,Daniel Kraus,1250165342,,"Feiwel & Friends (March 6, 2018)",English,6.4 x 1.1 x 9.2 inches,1 pounds,3.8 out of 5 stars
"Saga Volume 8 Paperback – January 2, 2018",$9.64,Books > Science Fiction & Fantasy > Science Fiction,In Stock.,http://www.amazon.com/gp/product/1534303499,Brian K Vaughan,1534303499,152 pages,"Image Comics (January 2, 2018)",English,6.4 x 0.5 x 10 inches,11 ounces,4.5 out of 5 stars
"Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels) Paperback – January 12, 1999",$11.39,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0385333846,Kurt Vonnegut,0385333846,288 pages,"Dial Press Trade Paperback; Reissue edition (January 12, 1999)",English,5.3 x 0.7 x 8 inches,8.5 ounces,4.2 out of 5 stars
"Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series) Hardcover – January 16, 2018",$19.04,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/042528591X,Pierce Brown,042528591X,,"Del Rey (January 16, 2018)",English,6.5 x 1.6 x 9.5 inches,1.9 pounds,4.4 out of 5 stars
"Animal Farm: 1984 Hardcover – June 1, 2003",$13.59,Books > Humor & Entertainment > Humor,In Stock.,http://www.amazon.com/gp/product/0151010269,George Orwell,0151010269,,"Houghton Mifflin Harcourt; 1 edition (June 1, 2003)",English,5.5 x 1.2 x 8.2 inches,1.1 pounds,4.5 out of 5 stars
"It: A Novel Paperback – September 5, 2017",$12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Only 1 left in stock - order soon.,http://www.amazon.com/gp/product/1501175467,Stephen King,1501175467,1184 pages,"Scribner; Media Tie-In edition (September 5, 2017)",English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5 out of 5 stars
"The Alienist (TNT Tie-in Edition): A Novel Paperback – November 21, 2017",$10.70,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0525510273,Caleb Carr,0525510273,512 pages,"Random House Trade Paperbacks; Media Tie In edition (November 21, 2017)",English,5.2 x 1.1 x 7.9 inches,10.4 ounces,4.4 out of 5 stars
"The Couple Next Door: A Novel Paperback – May 30, 2017",$12.80,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0735221103,Shari Lapena,0735221103,336 pages,"Penguin Books; Reprint edition (May 30, 2017)",English,5.2 x 0.6 x 8 inches,8 ounces,4.1 out of 5 stars
"Night Moves: An Alex Delaware Novel Hardcover – February 13, 2018",$18.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0345541464,Jonathan Kellerman,0345541464,,"Ballantine Books (February 13, 2018)",English,6.4 x 1.2 x 9.6 inches,1.4 pounds,4.4 out of 5 stars
"The Disappeared (A Joe Pickett Novel) Hardcover – March 27, 2018",$17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","This title will be released on March 27, 2018.",http://www.amazon.com/gp/product/0399176624,C. J. Box,0399176624,,"G.P. Putnam's Sons (March 27, 2018)",English,6.4 x 1.3 x 9.3 inches,1.3 pounds,
"Sunburn: A Novel Hardcover – February 20, 2018",$17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0062389920,Laura Lippman,0062389920,,"William Morrow (February 20, 2018)",English,6 x 1 x 9 inches,12 ounces,4.2 out of 5 stars
"Look for Me (D. D. Warren) Hardcover – February 6, 2018",$16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1524742058,Lisa Gardner,1524742058,,"Dutton (February 6, 2018)",English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3 out of 5 stars
"The Flight Attendant: A Novel Hardcover – March 13, 2018",$16.20,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0385542410,Chris Bohjalian,0385542410,,"Doubleday (March 13, 2018)",English,6.5 x 1.5 x 9.5 inches,1.4 pounds,4.3 out of 5 stars
"The Last Mrs. Parrish: A Novel Hardcover – October 17, 2017",$17.67,Books > Literature & Fiction > Women's Fiction,In Stock.,http://www.amazon.com/gp/product/0062667572,Liv Constantine,0062667572,,"Harper; First Edition edition (October 17, 2017)",English,6 x 1.2 x 9 inches,1.4 pounds,4.2 out of 5 stars
