Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
"Eleanor Oliphant Is Completely Fine: A Novel Hardcover – May 9, 2017",$18.16 ,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,,"Pamela Dorman Books; F First Edition edition (May 9, 2017)",English,6.3 x 1.2 x 9.3 inches,4.7 out of 5 stars
"The Punishment She Deserves: A Lynley Novel Hardcover – March 20, 2018",$18.30 ,"Books > Mystery, Thriller & Suspense > Mystery",Elizabeth George,,"Viking (March 20, 2018)",English,6.4 x 2 x 9.6 inches,5.0 out of 5 stars
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row Hardcover – January 22, 2018",$19.43 ,Books > Biographies & Memoirs > True Crime,James PattersonAlex AbramovichMike Harvkey,,"Little, Brown and Company (January 22, 2018)",English,6.5 x 1.4 x 9.5 inches,4.2 out of 5 stars
"Everything I Never Told You Paperback – May 12, 2015",$12.80 ,Books > Literature & Fiction > Genre Fiction,Celeste Ng,297 pages,"Penguin Books; Reprint edition (May 12, 2015)",English,5.1 x 0.6 x 7.8 inches,4.1 out of 5 stars
"Palace of Treason: A Novel (The Red Sparrow Trilogy) Paperback – June 13, 2017",$9.34 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,496 pages,"Scribner; Reprint edition (June 13, 2017)",English,5.2 x 1 x 8 inches,4.6 out of 5 stars
"The Rooster Bar Hardcover – October 24, 2017",$15.28 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,,"Doubleday; 1st Edition edition (October 24, 2017)",English,6.4 x 1.2 x 9.5 inches,3.7 out of 5 stars
"Holy Ghost Hardcover – October 2, 2018",$26.10 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Sandford,,"G.P. Putnam's Sons (October 2, 2018)",English,6 x 1.2 x 9 inches,
"Lord of the Flies Mass Market Paperback – Antique Books, December 16, 2003",$8.89 ,Books > Literature & Fiction > Genre Fiction,William Golding,224 pages,"Penguin Books; Reissue edition (December 16, 2003)",English,4.2 x 0.6 x 7.6 inches,4.2 out of 5 stars
"The Masterpiece Hardcover – February 6, 2018",$17.10 ,Books > Christian Books & Bibles > Literature & Fiction,Francine Rivers,,"Tyndale House Publishers, Inc. (February 6, 2018)",English,5.7 x 1.8 x 8.9 inches,4.8 out of 5 stars
"The Wife Between Us: A Novel Hardcover – January 9, 2018",$16.19 ,Books > Literature & Fiction > Women's Fiction,Greer HendricksSarah Pekkanen,,"St. Martin's Press (January 9, 2018)",English,6.4 x 1.3 x 9.6 inches,4.2 out of 5 stars
"To Kill a Mockingbird Paperback – July 5, 2005",$8.99 ,Books > Literature & Fiction > Classics,Harper Lee,336 pages,Harper Perennial Modern Classics (2002),English,5.2 x 1 x 8.2 inches,4.7 out of 5 stars
"Annihilation: A Novel (The Southern Reach Trilogy) Paperback – February 4, 2014",$8.41 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,208 pages,"FSG Originals; First Edition edition (February 4, 2014)",English,5.1 x 0.6 x 7.5 inches,3.6 out of 5 stars
"The Light We Lost Paperback – February 6, 2018",$10.07 ,Books > Literature & Fiction > Women's Fiction,Jill Santopolo,352 pages,"G.P. Putnam's Sons; Reprint edition (February 6, 2018)",English,5.1 x 0.9 x 8 inches,4.2 out of 5 stars
"The Handmaid's Tale Paperback – March 16, 1998",$9.59 ,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,311 pages,"Anchor; 1st Anchor Books edition (March 16, 1998)",English,5.2 x 0.7 x 8 inches,4.1 out of 5 stars
"The Great Gatsby Paperback – September 30, 2004",$10.49 ,Books > Literature & Fiction > Classics,F. Scott Fitzgerald,180 pages,"Scribner (September 30, 2004)",English,5.2 x 0.4 x 8 inches,4.3 out of 5 stars
"Still Me: A Novel Hardcover – January 30, 2018",$17.70 ,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,,"Pamela Dorman Books (January 30, 2018)",English,6.4 x 1.3 x 9.3 inches,4.7 out of 5 stars
"Past Tense: A Jack Reacher Novel Hardcover – November 5, 2018",$26.09 ,Books > Literature & Fiction > Action & Adventure,Lee Child,,"Delacorte Press (November 5, 2018)",English,6 x 1 x 9 inches,
"Red Sparrow: A Novel (The Red Sparrow Trilogy) Mass Market Paperback – February 20, 2018",$8.30 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,576 pages,"Pocket Books; Media Tie-In edition (February 20, 2018)",English,4.1 x 1.3 x 7.5 inches,4.4 out of 5 stars
"The Outsider Hardcover – May 22, 2018",$19.49 ,Books > Literature & Fiction > Genre Fiction,Stephen King,,"Scribner (May 22, 2018)",English,6.1 x 9.2 inches,
"Go the F**k to Sleep Hardcover – June 14, 2011",$12.35 ,Books > Humor & Entertainment > Humor,Adam MansbachRicardo Cortés,,"Akashic Books; 1st edition (June 14, 2011)",English,8.5 x 0.2 x 6.5 inches,4.7 out of 5 stars
