Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
"A Man With One of Those Faces Paperback – August 27, 2016",$11.58 ,"Books > Mystery, Thriller & Suspense > Mystery",Caimh McDonnell,360 pages,"McFori Ink (August 27, 2016)",English,6 x 0.9 x 9 inches,4.6 out of 5 stars
"The Snowman (Harry Hole Series) Paperback – June 28, 2016",$8.75 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jo NesboDon Bartlett,528 pages,"Vintage Crime/Black Lizard; Complete Numbers Starting with 1, 1st Ed edition (June 28, 2016)",English,4.2 x 1.1 x 7.5 inches,4.1 out of 5 stars
"BellaKa Plus (Spanish Edition) (Spanish) Paperback – February 14, 2018",$10.79 ,Books > Literature & Fiction > Erotica,Perla Gizem,134 pages,"Perla Gizem (February 14, 2018)",Spanish,5 x 0.3 x 8 inches,3.8 out of 5 stars
"House Rules: A Novel Paperback – Unabridged, November 9, 2010",$9.84 ,Books > Literature & Fiction > Genre Fiction,Jodi Picoult,560 pages,"Washington Square Press; Reprint edition (November 9, 2010)",English,5.3 x 1.4 x 8.2 inches,4.3 out of 5 stars
"Silent Child Paperback – January 26, 2017",$14.15 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Sarah A Denzil,416 pages,"CreateSpace Independent Publishing Platform (January 26, 2017)",English,5 x 1 x 8 inches,4.3 out of 5 stars
"The Affair (Jack Reacher) Mass Market Paperback – March 27, 2012",$9.78 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,608 pages,"Dell; Reprint edition (March 27, 2012)",English,4.2 x 1.5 x 7.5 inches,4.5 out of 5 stars
"Nine Dragons (A Harry Bosch Novel) Mass Market Paperback – August 1, 2010",$9.00 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,480 pages,"Vision; Reprint edition (August 1, 2010)",English,4.2 x 1 x 7.5 inches,4.4 out of 5 stars
"Right Behind You (FBI Profiler) Paperback – October 3, 2017",$6.29 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,480 pages,"Dutton; Reprint edition (October 3, 2017)",English,4.2 x 1 x 7.5 inches,4.6 out of 5 stars
"The Murder House Paperback – April 5, 2016",$9.20 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James PattersonDavid Ellis,480 pages,"Grand Central Publishing; Reprint edition (April 5, 2016)",English,5.2 x 1.2 x 8 inches,4.5 out of 5 stars
"Home Fire: A Novel Hardcover – August 15, 2017",$14.30 ,Books > Literature & Fiction > Genre Fiction,Kamila Shamsie,288 pages,"Riverhead Books; 1st edition (August 15, 2017)",English,5.9 x 1 x 8.6 inches,4.5 out of 5 stars
"Rebecca Paperback – September 5, 2006",$10.75 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Daphne Du Maurier,416 pages,"William Morrow Paperbacks (September 5, 2006)",English,5.3 x 0.9 x 8 inches,4.4 out of 5 stars
"Those Who Leave and Those Who Stay: Neapolitan Novels, Book Three Paperback – September 2, 2014",$10.15 ,Books > Literature & Fiction > Genre Fiction,Elena Ferrante,400 pages,"Europa Editions; First Edition edition (September 2, 2014)",English,5.3 x 1.3 x 8.2 inches,4.5 out of 5 stars
"Elevation Hardcover – October 30, 2018",$17.96 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,144 pages,"Scribner (October 30, 2018)",English,,
"Pilgrim's Progress (Illustrated): Updated, Modern English. More than 100 Illustrations. 2nd Edition",,Books > Christian Books & Bibles > Literature & Fiction,John Bunyan,384 pages,"Aneko Press; 2 edition (January 15, 2015)",English,6 x 1 x 9 inches,4.6 out of 5 stars
"Written in My Own Heart's Blood: A Novel (Outlander) Mass Market Paperback – May 31, 2016",$8.48 ,Books > Literature & Fiction > Genre Fiction,Diana Gabaldon,1152 pages,"Dell (May 31, 2016)",English,4.2 x 1.8 x 6.8 inches,4.7 out of 5 stars
"Unbound (A Stone Barrington Novel) Hardcover – January 2, 2018",$15.51 ,Books > Literature & Fiction > Action & Adventure,Stuart Woods,320 pages,"G.P. Putnam's Sons (January 2, 2018)",English,6.3 x 1.3 x 9.3 inches,4.5 out of 5 stars
"The Drums of Autumn Mass Market Paperback – November 10, 1997",$9.93 ,Books > Literature & Fiction > Genre Fiction,Diana Gabaldon,1070 pages,Dell; Reissue edition (1997),English,4.2 x 1.7 x 6.9 inches,4.7 out of 5 stars
"The Count of Monte Cristo (Penguin Classics) Paperback – May 27, 2003",$12.74 ,Books > Literature & Fiction > History & Criticism,Robin Buss,1276 pages,"Penguin Classics; Reissue edition (May 27, 2003)",English,5 x 2.4 x 7.8 inches,4.6 out of 5 stars
"The Resurrectionist: The Lost Work of Dr. Spencer Black Hardcover – May 21, 2013",$19.96 ,Books > Literature & Fiction > Genre Fiction,E. B. Hudspeth,192 pages,"Quirk Books; 1st Edition, 1st Printing edition (May 21, 2013)",English,7.8 x 0.9 x 10.8 inches,4.2 out of 5 stars
"Seeing Red Paperback – February 6, 2018",$11.78 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Sandra Brown,432 pages,"Grand Central Publishing; Reprint edition (February 6, 2018)",English,5.5 x 1.2 x 8.2 inches,4.4 out of 5 stars
"Berserk, Vol. 12 Paperback – July 25, 2006",$12.53 ,Books > Comics & Graphic Novels > Manga,Kentaro Miura,232 pages,"Dark Horse Manga; 1st edition (July 25, 2006)",English,5.1 x 0.7 x 7.2 inches,5.0 out of 5 stars
"Star Trek: Discovery: Drastic Measures Paperback – February 6, 2018",$13.25 ,Books > Science Fiction & Fantasy > Science Fiction,Dayton Ward,400 pages,"Pocket Books/Star Trek (February 6, 2018)",English,5.3 x 1 x 8.2 inches,3.8 out of 5 stars
"Alas, Babylon Paperback – July 5, 2005",$12.06 ,Books > Literature & Fiction > United States,Pat Frank,352 pages,"Harper Perennial Modern Classics; Reissue edition (July 5, 2005)",English,5.3 x 0.8 x 8 inches,4.6 out of 5 stars
"The Changeling: A Novel Paperback – March 6, 2018",$12.19 ,Books > Literature & Fiction > Genre Fiction,Victor LaValle,448 pages,"Spiegel & Grau; Reprint edition (March 6, 2018)",English,5.2 x 0.9 x 8 inches,3.9 out of 5 stars
"The Long Way to a Small, Angry Planet (Wayfarers) Paperback – July 5, 2016",$11.15 ,Books > Literature & Fiction > Action & Adventure,Becky Chambers,464 pages,"Harper Voyager (July 5, 2016)",English,5.3 x 1 x 8 inches,4.3 out of 5 stars
"Who Fears Death Mass Market Paperback – February 4, 2014",$7.99 ,Books > Literature & Fiction > Genre Fiction,Nnedi Okorafor,432 pages,"DAW; Reprint edition (February 4, 2014)",English,4.2 x 1.1 x 6.8 inches,4.5 out of 5 stars
"The Sword of Truth, Boxed Set I, Books 1-3: Wizard's First Rule, Blood of the Fold ,Stone of Tears Paperback – Box set, November 15, 1998",$17.43 ,Books > Literature & Fiction > Action & Adventure,Terry Goodkind,2480 pages,Tor Books (November 1998),English,4.3 x 5.6 x 6.8 inches,4.3 out of 5 stars
"The Hills Have Spies (Valdemar: Family Spies) Hardcover – June 5, 2018",$24.30 ,Books > Science Fiction & Fantasy > Fantasy,Mercedes Lackey,368 pages,"DAW (June 5, 2018)",English,6 x 0.9 x 9 inches,
"Gunnerkrigg Court Vol. 6: Dissolve Hardcover – February 6, 2018",$16.54 ,Books > Comics & Graphic Novels > Graphic Novels,Thomas Siddell,304 pages,"Archaia; Not for Online edition (February 6, 2018)",English,5.6 x 1 x 8.8 inches,4.6 out of 5 stars
"No Game No Life, Vol. 1 - light novel Paperback – April 21, 2015",$12.29 ,Books > Science Fiction & Fantasy > Fantasy,Yuu Kamiya,176 pages,"Yen On (April 21, 2015)",English,5.5 x 0.5 x 8.2 inches,4.4 out of 5 stars
"Memorial Day (A Mitch Rapp Novel) Mass Market Paperback – July 19, 2005",$8.99 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Vince Flynn,574 pages,"Pocket Star (August 1, 2005)",English,4.1 x 1.4 x 7.5 inches,4.7 out of 5 stars
"Once We Were Brothers: A Novel (Liam Taggart and Catherine Lockhart) Paperback – October 8, 2013",$9.98 ,Books > Literature & Fiction > Genre Fiction,Ronald H. Balson,400 pages,"St. Martin's Griffin; First Edition edition (October 8, 2013)",English,5.4 x 1.1 x 8.3 inches,4.7 out of 5 stars
"The Last Coyote (A Harry Bosch Novel) Mass Market Paperback – October 15, 2013",$8.47 ,"Books > Mystery, Thriller & Suspense > Mystery",Michael Connelly,544 pages,"Grand Central Publishing; Reprint edition (October 15, 2013)",English,4.2 x 1.1 x 7.5 inches,4.6 out of 5 stars
"The Secret Scripture: A Novel Paperback – April 28, 2009",$12.86 ,Books > Literature & Fiction > Genre Fiction,Sebastian Barry,336 pages,"Penguin Books; unknown edition (April 28, 2009)",English,5 x 0.6 x 7.7 inches,4.3 out of 5 stars
"Bad Luck and Trouble (Jack Reacher) Mass Market Paperback – May 19, 2009",$8.99 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,512 pages,"Dell; Reprint edition (May 19, 2009)",English,4.2 x 1.2 x 7.6 inches,4.4 out of 5 stars
"The Girlfriend Hardcover – January 30, 2018",$13.00 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michelle Frances,432 pages,"Kensington (January 30, 2018)",English,6.3 x 1.3 x 9.3 inches,4.1 out of 5 stars
"A Moment of Silence: Midnight III (The Midnight Series) Paperback – October 4, 2016",$12.19 ,Books > Literature & Fiction > United States,Sister Souljah,544 pages,"Atria/Emily Bestler Books; Reprint edition (October 4, 2016)",English,5.3 x 1.5 x 8.2 inches,4.4 out of 5 stars
"The Russian Assassin: A Max Austin Thriller, Book #1 (Volume 1) Paperback – August 14, 2017",$13.34 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jack Arbor,366 pages,"High Caliber Books; 1.1 edition (August 14, 2017)",English,5 x 0.9 x 8 inches,4.4 out of 5 stars
"The Girl Who Played with Fire (Millennium Series) Mass Market Paperback – November 22, 2011",$7.99 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stieg Larsson,752 pages,"Vintage Crime/Black Lizard; Reprint edition (November 22, 2011)",English,4.2 x 1.7 x 7.5 inches,4.6 out of 5 stars
"Trunk Music (A Harry Bosch Novel) Mass Market Paperback – October 15, 2013",$7.39 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,544 pages,"Grand Central Publishing; Reprint edition (October 15, 2013)",English,4.1 x 1.1 x 7.5 inches,4.6 out of 5 stars
"Idaho: A Novel Paperback – November 7, 2017",$9.18 ,Books > Literature & Fiction > Genre Fiction,Emily Ruskovich,336 pages,"Random House Trade Paperbacks; Reprint edition (November 7, 2017)",English,5.1 x 0.7 x 8 inches,3.6 out of 5 stars
"Winter Sisters Hardcover – February 27, 2018",$20.97 ,Books > Literature & Fiction > Genre Fiction,Robin Oliveira,416 pages,"Viking (February 27, 2018)",English,6.4 x 1.3 x 9.3 inches,4.8 out of 5 stars
"James Baldwin : Collected Essays : Notes of a Native Son / Nobody Knows My Name / The Fire Next Time / No Name in the Street / The Devil Finds Work / Other Essays (Library of America) Hardcover – February 1, 1998",$25.74 ,Books > Literature & Fiction > History & Criticism,James Baldwin,869 pages,"Library of America (February 1, 1998)",English,5.2 x 1.1 x 8.1 inches,4.9 out of 5 stars
"The Story of a New Name: Neapolitan Novels, Book Two Paperback – September 3, 2013",$11.24 ,Books > Literature & Fiction > Genre Fiction,Elena Ferrante,471 pages,"Europa Editions; Later prt. edition (September 3, 2013)",English,5.3 x 1.8 x 8.2 inches,4.5 out of 5 stars
"Island of Glass (Guardians Trilogy) Paperback – Deckle Edge, December 6, 2016",$12.10 ,Books > Literature & Fiction > United States,Nora Roberts,352 pages,"Berkley (December 6, 2016)",English,5.6 x 0.9 x 8.2 inches,4.8 out of 5 stars
"The Forbidden Door: A Jane Hawk Novel Hardcover – October 9, 2018",$21.84 ,Books > Literature & Fiction > Action & Adventure,Dean Koontz,480 pages,"Bantam (October 9, 2018)",English,6.1 x 1.2 x 9.2 inches,
"A Time of Love and Tartan (44 Scotland Street Series) Paperback – February 6, 2018",$10.97 ,Books > Literature & Fiction > Genre Fiction,Alexander McCall Smith,272 pages,"Anchor (February 6, 2018)",English,5.3 x 0.8 x 8 inches,4.6 out of 5 stars
"Ship of Theseus Hardcover – October 29, 2013",$30.22 ,Books > Literature & Fiction > Action & Adventure,J. J. AbramsDoug Dorst,472 pages,"Mulholland Books; Slp edition (October 29, 2013)",English,6.5 x 1.8 x 9.8 inches,4.4 out of 5 stars
"The French Girl Hardcover – February 20, 2018",$17.10 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lexie Elliott,304 pages,"Berkley (February 20, 2018)",English,6.4 x 1 x 9.3 inches,3.9 out of 5 stars
"Outline: A Novel (Outline Trilogy) Paperback – February 9, 2016",$12.66 ,Books > Literature & Fiction > Literary,Rachel Cusk,256 pages,"Picador; Reprint edition (February 9, 2016)",English,5.4 x 0.7 x 8.2 inches,3.5 out of 5 stars
"The Girl in the Tower: A Novel (Winternight Trilogy) Hardcover – December 5, 2017",$16.66 ,Books > Literature & Fiction > Action & Adventure,Katherine Arden,384 pages,"Del Rey (December 5, 2017)",English,6.3 x 1.2 x 9.4 inches,4.7 out of 5 stars
"Race for the Flash Stone (The Anlon Cully Chronicles) (Volume 2) Paperback – May 9, 2017",$15.29 ,Books > Literature & Fiction > Action & Adventure,K Patrick Donoghue,358 pages,"Leaping Leopard Enterprises, LLC; 1 edition (May 9, 2017)",English,6 x 0.9 x 9 inches,4.3 out of 5 stars
"Grave Peril (The Dresden Files, Book 3) Mass Market Paperback – September 1, 2001",$5.24 ,"Books > Mystery, Thriller & Suspense > Mystery",Jim Butcher,378 pages,"ROC; Reprint edition (September 1, 2001)",English,4.2 x 1 x 7.6 inches,4.5 out of 5 stars
"The Subtle Knife: His Dark Materials Paperback – May 22, 2001",$6.98 ,Books > Teen & Young Adult > Literature & Fiction,Philip Pullman,384 pages,"Yearling (May 22, 2001)",English,5.2 x 0.9 x 7.6 inches,4.3 out of 5 stars
Ursula K. Le Guin: Conversations on Writing 1st Edition,,Books > Literature & Fiction > History & Criticism,Ursula K. Le GuinDavid Naimon,150 pages,"Tin House Books; 1 edition (April 3, 2018)",English,5.6 x 0.7 x 7.3 inches,
"Fighting Rough: A Post-Apocalyptic EMP Survival Thriller (The EMP) Paperback – February 24, 2018",$8.77 ,Books > Literature & Fiction > Action & Adventure,Ryan Westfield,222 pages,"Independently published (February 24, 2018)",English,5 x 0.5 x 8 inches,4.3 out of 5 stars
"Down Among the Sticks and Bones (Wayward Children) Hardcover – June 13, 2017",$9.98 ,Books > Literature & Fiction > Genre Fiction,Seanan McGuire,192 pages,"Tor.com (June 13, 2017)",English,5.8 x 0.8 x 9 inches,4.6 out of 5 stars
"The Jedi Path: A Manual for Students of the Force [Vault Edition] (Star Wars) Hardcover – September 28, 2010",$59.99 ,Books > Science Fiction & Fantasy > Fantasy,Daniel Wallace,160 pages,"becker&mayer! Book Producers; 58798th edition (September 28, 2010)",English,10.5 x 4 x 12.8 inches,4.7 out of 5 stars
"The Satanic Verses: A Novel Paperback – March 11, 2008",$13.12 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Salman Rushdie,576 pages,"Random House Trade Paperbacks; Reprint edition (March 11, 2008)",English,5.2 x 1.2 x 8 inches,3.6 out of 5 stars
"Batman Vol. 3: Death of the Family (The New 52) (Batman (DC Comics Paperback)) Paperback – May 13, 2014",$14.49 ,Books > Comics & Graphic Novels > Graphic Novels,Scott SnyderJock,176 pages,"DC Comics; New 52 ed. edition (May 13, 2014)",English,6.7 x 0.3 x 10.2 inches,4.7 out of 5 stars
"Assassin's Fate: Book III of the Fitz and the Fool trilogy Mass Market Paperback – December 26, 2017",$9.09 ,Books > Literature & Fiction > Action & Adventure,Robin Hobb,960 pages,"Del Rey; Reissue edition (December 26, 2017)",English,4.2 x 1.6 x 6.9 inches,4.8 out of 5 stars
"The Chosen: A Novel of the Black Dagger Brotherhood Mass Market Paperback – September 26, 2017",$7.51 ,Books > Science Fiction & Fantasy > Fantasy,J.R. Ward,576 pages,"Ballantine Books; Reissue edition (September 26, 2017)",English,4.2 x 1.2 x 6.9 inches,4.7 out of 5 stars
"Without Warning: A J.B. Collins Novel Paperback – October 3, 2017",$7.40 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Joel C. Rosenberg,592 pages,"Tyndale House Publishers, Inc.; Reprint edition (October 3, 2017)",English,3.8 x 1.4 x 7.3 inches,4.8 out of 5 stars
"The Black Box (Harry Bosch) Mass Market Paperback – October 15, 2013",$6.99 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,480 pages,"Grand Central Publishing; Reprint edition (October 15, 2013)",English,4.2 x 1.2 x 7.5 inches,4.4 out of 5 stars
"Celine: A novel (Vintage Contemporaries) Paperback – January 2, 2018",$9.14 ,"Books > Mystery, Thriller & Suspense > Mystery",Peter Heller,352 pages,"Vintage; Reprint edition (January 2, 2018)",English,5.2 x 0.7 x 8 inches,3.8 out of 5 stars
"The Survivor (A Mitch Rapp Novel) Mass Market Paperback – August 30, 2016",$8.23 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Vince FlynnKyle Mills,464 pages,"Pocket Books; Reissue edition (August 30, 2016)",English,4.1 x 1 x 7.5 inches,4.4 out of 5 stars
"Twelve Angry Librarians (Cat in the Stacks Mystery) Mass Market Paperback – January 2, 2018",$6.47 ,"Books > Mystery, Thriller & Suspense > Mystery",Miranda James,288 pages,"Berkley; Reprint edition (January 2, 2018)",English,4.1 x 0.8 x 6.8 inches,4.7 out of 5 stars
"The Silkworm (A Cormoran Strike Novel) Paperback – June 2, 2015",$11.01 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Robert Galbraith,464 pages,"Mulholland Books; Reprint edition (June 2, 2015)",English,5.5 x 1.2 x 8.2 inches,4.2 out of 5 stars
"The Cartel Paperback – September 26, 2017",$7.73 ,"Books > Mystery, Thriller & Suspense > Mystery",Don Winslow,768 pages,"Vintage Crime/Black Lizard; F First Edition edition (September 26, 2017)",English,4.1 x 1.2 x 7.5 inches,4.5 out of 5 stars
"A Darkness More Than Night (A Harry Bosch Novel) Mass Market Paperback – April 29, 2014",$8.85 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,496 pages,"Grand Central Publishing; Reissue edition (April 29, 2014)",English,4.2 x 1 x 7.5 inches,4.5 out of 5 stars
"A Wanted Man (Jack Reacher) Mass Market Paperback – May 28, 2013",$7.88 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,640 pages,"Dell; Reprint edition (May 28, 2013)",English,4.2 x 1.5 x 7.5 inches,4.1 out of 5 stars
"Night Shift Mass Market Paperback – July 26, 2011",$8.09 ,Books > Literature & Fiction > Genre Fiction,Stephen King,544 pages,"Anchor; 1 edition (July 26, 2011)",English,4.2 x 1.2 x 6.9 inches,4.6 out of 5 stars
"The Bomb Maker Hardcover – January 2, 2018",$16.72 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Thomas Perry,384 pages,"Mysterious Press; 1st Edition edition (January 2, 2018)",English,6.5 x 1 x 9.5 inches,3.8 out of 5 stars
"Anything Is Possible: A Novel Hardcover – April 25, 2017",$15.03 ,Books > Literature & Fiction > Genre Fiction,Elizabeth Strout,272 pages,"Random House; 1st edition (April 25, 2017)",English,5.7 x 0.9 x 8.6 inches,3.9 out of 5 stars
"Babylon's Ashes (The Expanse) Paperback – October 24, 2017",$11.55 ,Books > Science Fiction & Fantasy > Science Fiction,James S. A. Corey,576 pages,"Orbit; Reprint edition (October 24, 2017)",English,6 x 1.5 x 9.2 inches,4.3 out of 5 stars
"Cave of Bones (A Leaphorn, Chee & Manuelito Novel) Hardcover – April 3, 2018",$22.94 ,Books > Literature & Fiction > Genre Fiction,Anne Hillerman,320 pages,"Harper (April 3, 2018)",English,6 x 1 x 9 inches,
"She Felt Like Feeling Nothing Paperback – April 10, 2018",$12.96 ,Books > Literature & Fiction > Poetry,r.h. Sin,144 pages,"Andrews McMeel Publishing (April 10, 2018)",English,5 x 0.4 x 7 inches,
"Siddhartha Mass Market Paperback – December 1, 1981",$5.39 ,Books > Literature & Fiction > Classics,Hermann Hesse,160 pages,"Bantam (January 1, 1982)",English,4.2 x 0.4 x 6.9 inches,4.4 out of 5 stars
"The Moth Presents All These Wonders: True Stories About Facing the Unknown Hardcover – March 21, 2017",$17.00 ,Books > Engineering & Transportation > Engineering,Catherine Burns,352 pages,"Crown Archetype; 7th Print edition (March 21, 2017)",English,5.6 x 1.1 x 7.9 inches,4.8 out of 5 stars
"Mythology: Timeless Tales of Gods and Heroes Mass Market Paperback – January 1, 2011",$9.00 ,Books > Teen & Young Adult > Science Fiction & Fantasy,Edith Hamilton,512 pages,"Grand Central Publishing; Reprint edition (January 1, 2011)",English,4.2 x 1.2 x 7.5 inches,4.4 out of 5 stars
"The Pillars of the Earth: A Novel (Kingsbridge) Mass Market Paperback – July 9, 1990",$8.82 ,Books > Literature & Fiction > Genre Fiction,Ken Follett,983 pages,"Penguin Books (July 9, 1990)",English,4.2 x 1.7 x 6.9 inches,4.5 out of 5 stars
"Jonathan Livingston Seagull: The Complete Edition Paperback – October 21, 2014",$8.87 ,Books > Literature & Fiction > Genre Fiction,Richard Bach,144 pages,"Scribner; Reissue edition (October 21, 2014)",English,6.5 x 0.5 x 8.5 inches,4.7 out of 5 stars
"The Secret Garden (HarperClassics) Paperback – Special Edition, December 21, 2010",$4.99 ,Books > Children's Books > Literature & Fiction,Frances Hodgson Burnett,384 pages,"HarperCollins; Reprint edition (December 21, 2010)",English,5.1 x 0.8 x 7.6 inches,4.6 out of 5 stars
"Stories of Your Life and Others Paperback – June 14, 2016",$12.66 ,Books > Literature & Fiction > Short Stories & Anthologies,Ted Chiang,304 pages,"Vintage; Reissue edition (June 14, 2016)",English,5.2 x 0.9 x 8 inches,4.4 out of 5 stars
"Zero Day: A Novel (The Hatching Series) Hardcover – February 27, 2018",$17.10 ,Books > Literature & Fiction > Genre Fiction,Ezekiel Boone,336 pages,"Atria/Emily Bestler Books (February 27, 2018)",English,6 x 1.3 x 9 inches,3.7 out of 5 stars
"Kingdom Keepers: Disney After Dark Paperback – September 1, 2009",$5.89 ,"Books > Children's Books > Fairy Tales, Folk Tales & Myths",Ridley Pearson,336 pages,"Disney-Hyperion; unknown edition (September 1, 2009)",English,5.5 x 0.8 x 8.2 inches,4.5 out of 5 stars
"Foundation and Empire Mass Market Paperback – October 1, 1991",$7.19 ,Books > Science Fiction & Fantasy > Science Fiction,Isaac Asimov,282 pages,"Spectra; later printing edition (November 1, 1991)",English,4.2 x 0.8 x 6.9 inches,4.4 out of 5 stars
"Star Wars®: Imperial Handbook (Star Wars (Chronicle)) Hardcover – August 11, 2015",$13.56 ,Books > Humor & Entertainment > Movies,Daniel Wallace,160 pages,"Chronicle Books (August 11, 2015)",English,6.2 x 1 x 8.8 inches,4.7 out of 5 stars
"Towers of Midnight (Wheel of Time) Mass Market Paperback – October 4, 2011",$6.20 ,Books > Literature & Fiction > Action & Adventure,Robert JordanBrandon Sanderson,1264 pages,"Tor Fantasy; Reprint edition (October 4, 2011)",English,4.2 x 2.1 x 6.8 inches,4.7 out of 5 stars
"The Tangled Lands Hardcover – February 27, 2018",$17.70 ,Books > Science Fiction & Fantasy > Fantasy,Paolo Bacigalupi,304 pages,"Saga Press (February 27, 2018)",English,6 x 1 x 9 inches,4.5 out of 5 stars
"All the Names They Used for God: Stories Hardcover – February 20, 2018",$17.10 ,Books > Literature & Fiction > Short Stories & Anthologies,Anjali Sachdeva,272 pages,"Spiegel & Grau (February 20, 2018)",English,5.8 x 0.8 x 8.6 inches,4.5 out of 5 stars
"Age of Myth: Book One of The Legends of the First Empire Paperback – January 31, 2017",$8.98 ,Books > Literature & Fiction > Action & Adventure,Michael J. Sullivan,464 pages,"Del Rey (January 31, 2017)",English,4.2 x 1.1 x 7.5 inches,4.5 out of 5 stars
"Avenging Home (The Survivalist) (Volume 7) Paperback – February 24, 2016",$13.68 ,Books > Science Fiction & Fantasy > Science Fiction,A. American,330 pages,"Angery American Enterprises Inc. (February 24, 2016)",English,5.2 x 0.8 x 8 inches,4.8 out of 5 stars
"The Inheritance Trilogy Paperback – December 9, 2014",$17.44 ,Books > Literature & Fiction > Action & Adventure,N. K. Jemisin,1472 pages,"Orbit; 1st Printing edition (December 9, 2014)",English,5.5 x 2.5 x 8.2 inches,4.4 out of 5 stars
"7 Ate 9 Hardcover – May 16, 2017",$14.48 ,Books > Children's Books > Education & Reference,Tara LazarRoss MacDonald,32 pages,"Disney-Hyperion (May 16, 2017)",English,9.5 x 0.5 x 9.2 inches,4.9 out of 5 stars
"Breaking Point (Lucy Kincaid Novels) Mass Market Paperback – January 30, 2018",$7.73 ,"Books > Mystery, Thriller & Suspense > Mystery",Allison Brennan,448 pages,"Minotaur Books (January 30, 2018)",English,4.5 x 1.2 x 7.6 inches,4.6 out of 5 stars
"The Angel Experiment: A Maximum Ride Novel (Book 1) Paperback – April 1, 2007",$6.09 ,Books > Teen & Young Adult > Literature & Fiction,James Patterson,464 pages,"jimmy patterson (April 1, 2007)",English,5.2 x 1.1 x 7.6 inches,4.4 out of 5 stars
"The Power of the Dog Paperback – May 9, 2006",$14.27 ,"Books > Mystery, Thriller & Suspense > Mystery",Don Winslow,560 pages,"Vintage Crime/Black Lizard; Reprint edition (May 9, 2006)",English,5.2 x 0.9 x 8 inches,4.5 out of 5 stars
"Sycamore Row (The Jake Brigance) Mass Market Paperback – August 19, 2014",$7.49 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,642 pages,"Dell Books (August 19, 2014)",English,4.2 x 1.6 x 7.5 inches,4.5 out of 5 stars
"Justice Lost (Darren Street) Paperback – February 13, 2018",$10.75 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Scott Pratt,270 pages,"Thomas & Mercer (February 13, 2018)",English,5.5 x 1 x 8.2 inches,4.5 out of 5 stars
"Fast and Loose (A Stone Barrington Novel) Paperback – November 28, 2017",$7.73 ,Books > Literature & Fiction > Action & Adventure,Stuart Woods,352 pages,"G.P. Putnam's Sons; Reprint edition (November 28, 2017)",English,4.2 x 0.9 x 7.5 inches,4.3 out of 5 stars
"25: Untitled: A Novel Hardcover – October 23, 2018",$28.95 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,368 pages,"Doubleday (October 23, 2018)",English,6.1 x 1 x 9.2 inches,
"Relic (Pendergast, Book 1) Mass Market Paperback – December 30, 2003",$8.99 ,Books > Literature & Fiction > Genre Fiction,Douglas PrestonLincoln Child,480 pages,"Tor Books (January 15, 1996)",English,4.2 x 1.2 x 6.8 inches,4.4 out of 5 stars
"Christmas Caramel Murder (A Hannah Swensen Mystery) Mass Market Paperback – September 26, 2017",$5.75 ,"Books > Mystery, Thriller & Suspense > Mystery",Joanne Fluke,261 pages,"Kensington; Reprint edition (September 26, 2017)",English,4.1 x 0.6 x 6.8 inches,4.0 out of 5 stars
"Everything Here Is Beautiful Hardcover – January 16, 2018",$17.10 ,Books > Literature & Fiction > Women's Fiction,Mira T. Lee,368 pages,"Pamela Dorman Books (January 16, 2018)",English,6.3 x 1.2 x 9.4 inches,4.7 out of 5 stars
Rosencrantz and Guildenstern Are Dead Anniversary Edition,,Books > Literature & Fiction > History & Criticism,Tom Stoppard,128 pages,"Grove Press; Anniversary edition (April 11, 2017)",English,6 x 0.5 x 7 inches,4.3 out of 5 stars
