Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
CARRIE,$6.52 ,Books > Literature & Fiction > Fiction > Horror > Best seller ranking: > # > 7883 >  > in > Books > # > 707 >  > in > Books > Literature & Fiction > # > 135 >  > in > Books > Literature & Fiction > General,"KING, STEPHEN",304,Random House,English,7.00 x 4.00 x 0.75 Inches,
Dead of Winter,$16.68 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Staub, Wendy Corsi",279,Pgw,English,9.25 x 6.25 x 1.00 Inches,
Double Booked for Death,$7.70 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Ali Brandon,336,BerkleyPenguin Publishing Group,English,,
WHERE COURAGE CALLS: A WHEN CALLS THE HEART NOVEL,$10.06 ,Books > Literature & Fiction > Fiction > Romance > Western,"OKE, JANETTE",336,Baker Pub Group,English,5.50 x 8.50 x 0.75 Inches,5
The Escape Artist,$21.16 ,Books > Summer Reading Books > Beach Reads,Brad Meltzer,434,Grand Central Publishing,English,9.38 x 6.31 x 1.25 Inches (US),
AN ENGAGEMENT IN SEATTLE,$5.98 ,Books > Literature & Fiction > Fiction > Romance > Collections & Anthologies,"MACOMBER, DEBBIE",464,Harlequin Books,English,4.19 x 6.63 x 1.09 Inches,
From Sea to Shining Sea,$8.99 ,Books > Literature & Fiction > Fiction > Historical,"Thom, James Alexander",896,Random House,English,7.00 x 4.25 x 1.50 Inches,
HIDDEN HEART: THIS MAGICMOMENT STORM WARNING,$5.98 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,"ROBERTS, NORA",400,Harlequin Books,English,6.75 x 4.50 x 1.00 Inches,
A Last Goodbye,$7.98 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Jance, Judith A.Fraser, Alison",1,Simon &amp; Schuster,English,5.25 x 6.00 x 0.75 Inches,
Frost Burned,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary > Best seller ranking: > # > 6963 >  > in > Books > # > 617 >  > in > Books > Literature & Fiction > # > 52 >  > in > Books > Literature & Fiction > Fantasy,Patricia Briggs,320,AcePenguin Publishing Group,English,,5
Kris Longknife: Unrelenting,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Mike Shepherd,400,AcePenguin Publishing Group,English,6.80 x 4.25 x 1.03 Inches (US),
Hard Love,$4.49 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,Meredith Wild,304,ForeverGrand Central Publishing,English,,
Twelve Slays of Christmas,$11.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Frost, Jacqueline",311,Pgw,English,9.00 x 6.00 x 1.00 Inches,
STING,$7.97 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Sandra Brown,480,Grand Central Publishing,English,6.88 x 4.12 x 1.00 Inches (US),
Curtain of Death,$5.98 ,Books > Literature & Fiction > Fiction > Action & Adventure,"GRIFFIN, W.E.B.",448,Penguin Group USA,English,4.25 x 7.50 x 0.90 Inches,
Murder Games,$23.87 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",Howard RoughanJames Patterson,432,"Little, Brown and Company",English,9.50 x 6.25 x 1.38 Inches (US),
Ursula K. Le Guin: The Hainish Novels and Stories,$48.56 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Ursula K. Le Guin,2100,Library of America,English,8.50 x 5.40 x 2.90 Inches (US),
The Ender Quartet,$20.54 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 3992 >  > in > Books > # > 304 >  > in > Books > Literature & Fiction > # > 18 >  > in > Books > Literature & Fiction > Science Fiction,"Card, Orson Scott",1760,Tor Books,English,6.75 x 4.50 x 4.25 Inches,4.3333
Tangled Webs,$6.75 ,Books > Literature & Fiction > Fiction > Romance > Suspense,"Hannon, Irene",358,Baker Pub Group,English,8.50 x 5.50 x 1.00 Inches,
"NIGHTINGALE, THE",$15.59 ,Books > Literature & Fiction > Fiction > Contemporary Women > Best seller ranking: > # > 272 >  > in > Books > # > 20 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > Historical,"HANNAH, KRISTIN",448,St Martins Pr,English,9.50 x 6.50 x 1.30 Inches,5
Black Friday: Exposed,$12.58 ,Books > Literature & Fiction > Fiction > Urban,JaQuavisAshley,249,Kensington Pub Corp,English,5.50 x 8.25 x 0.75 Inches,
Exile,$7.70 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Salvatore, R. A.",343,Wizards of the Coast,English,7.00 x 4.00 x 1.00 Inches,
Cat Shining Bright,$11.73 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy","Murphy, Shirley Rousseau",294,HarperCollins,English,8.50 x 5.75 x 1.00 Inches,
Haunted,$16.68 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",James O. BornJames Patterson,368,"Little, Brown and Company",English,9.75 x 6.50 x 1.25 Inches (US),
Fight Club,$6.32 ,Books > Literature & Fiction > Fiction > General > Best seller ranking: > # > 4939 >  > in > Books > # > 393 >  > in > Books > Literature & Fiction > # > 23 >  > in > Books > Literature & Fiction > Movie & TV Tie-Ins,"Palahniuk, Chuck",218,W W Norton &amp; Co Inc,English,8.50 x 5.50 x 0.50 Inches,5
SPEAKER FOR THE DEAD,$6.74 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,"CARD, ORSON SCOTT",416,Tor Books,English,7.00 x 4.50 x 1.25 Inches,
HALO: SMOKE AND SHADOW,$9.40 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,Kelly Gay,176,Gallery Books,English,8.25 x 5.31 x 12.70 Inches (US),
Storm of the Century: The Labor Day Hurricane of 1935,$14.70 ,Books > Literature & Fiction > Fiction > Horror > Best seller ranking: > # > 9727 >  > in > Books > # > 897 >  > in > Books > Literature & Fiction > # > 28 >  > in > Books > Literature & Fiction > Horror,Stephen King,400,Gallery Books,English,9.25 x 155.57 x 1.10 Inches (US),2
Misadventures With a Super Hero,$9.99 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,"Payne, Angel",252,Ingram Pub Services,English,8.25 x 5.75 x 1.00 Inches,
Mudbound,$13.22 ,Books > Literature & Fiction > Fiction > Historical,Hillary Jordan,340,Algonquin Books,English,8.25 x 139.70 x 1.25 Inches (US),
The Phantom of the Opera the Original Novel,$7.44 ,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 7022 >  > in > Books > # > 624 >  > in > Books > Literature & Fiction > # > 38 >  > in > Books > Literature & Fiction > Classics,"Leroux, Gaston",368,HarperCollins,EnglishFrench,7.00 x 4.25 x 1.00 Inches,
The Scarlet Letter,$4.95 ,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 5592 >  > in > Books > # > 470 >  > in > Books > Literature & Fiction > # > 30 >  > in > Books > Literature & Fiction > Classics,Nathaniel Hawthorne,288,SignetPenguin Publishing Group,English,,
A Painted House,$11.66 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Grisham, John",372,Random House Inc,English,8.00 x 5.25 x 1.00 Inches,
Death by Coffee,$6.39 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Erickson, Alex",314,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,
Dark Blood,$20.60 ,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 7325 >  > in > Books > # > 131 >  > in > Books > Romance > # > 23 >  > in > Books > Romance > Paranormal,Christine Feehan,432,BerkleyPenguin Publishing Group,English,9.38 x 6.25 x 1.38 Inches (US),
The May Bird Trilogy: The Ever After / Among the Stars / Warrior Princess,$20.47 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous > Best seller ranking: > # > 39620 >  > in > Books > # > 820 >  > in > Books > General,Jodi Lynn Anderson,960,Aladdin,English,7.62 x 5.12 x 2.70 Inches (US),
"TIME TO KILL, A",$8.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GRISHAM, JOHN",672,Random House,English,7.50 x 4.25 x 1.75 Inches,
BEHIND HER EYES: A SUSPENSEFUL PSYCHOLOGICAL THRIL,$12.78 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological",Sarah Pinborough,320,Flatiron Books,English,8.25 x 5.38 x 1.00 Inches (US),
Perchance to Dream : Selected Stories,$13.25 ,"Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Collections & Anthologies > Best seller ranking: > # > 7027 >  > in > Books > # > 351 >  > in > Books > Home, Hobbies & Garden > # > 43 >  > in > Books > Home, Hobbies & Garden > Humor",Charles Beaumont,336,Penguin ClassicsPenguin Publishing Group,English,,
The Last Dark,$15.97 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Stephen R. Donaldson,592,AcePenguin Publishing Group,English,9.00 x 6.00 x 1.30 Inches (US),
"Jason : An Anita Blake, Vampire Hunter Novel",$7.03 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary > Best seller ranking: > # > 3981 >  > in > Books > # > 303 >  > in > Books > Literature & Fiction > # > 32 >  > in > Books > Literature & Fiction > Fantasy,Laurell K. Hamilton,304,BerkleyPenguin Publishing Group,English,,
The Tea Girl of Hummingbird Lane,$7.49 ,Books > Walmart Best Sellers,Lisa See,384,Scribner,English,228.60 x 6.00 x 1.20 Millimeters,
STAR WARS TRILOGY,$9.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera > Best seller ranking: > # > 5297 >  > in > Books > # > 441 >  > in > Books > Literature & Fiction > # > 28 >  > in > Books > Literature & Fiction > Science Fiction,"LUCAS, GEORGE",688,Random House,English,7.75 x 4.00 x 1.50 Inches,5
"Kiss the Dead : An Anita Blake, Vampire Hunter Novel",$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Paranormal > Best seller ranking: > # > 9796 >  > in > Books > # > 910 >  > in > Books > Literature & Fiction > # > 78 >  > in > Books > Literature & Fiction > Fantasy,Laurell K. Hamilton,352,BerkleyPenguin Publishing Group,English,,5
Poison,$15.00 ,Books > Literature & Fiction > Fiction > Urban,"Harris, K. D.",213,Cartel Publications,English,5.55 x 0.60 x 8.49 Inches,
The Broker,$12.83 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 5654 >  > in > Books > # > 9 >  > in > Books > Audiobooks > # > 3 >  > in > Books > Audiobooks > Literature & Fiction","Grisham, JohnBoutsikaris, Dennis",,Random House,English,5.50 x 6.00 x 1.00 Inches,3
Rich or Famous: Love or Stardom,$11.91 ,Books > Literature & Fiction > Fiction > General,"King, Joy Deja",204,A King Production,,5.50 x 8.75 x 1.00 Inches,
Halo: Glasslands,$9.27 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Karen Traviss,464,Tom Doherty AssociatesTor Books,English,8.32 x 137.67 x 1.25 Inches (US),
The Rise of the Empire,$12.46 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera > Best seller ranking: > # > 2187 >  > in > Books > # > 157 >  > in > Books > Literature & Fiction > # > 10 >  > in > Books > Literature & Fiction > Science Fiction,"Fry, JasonScott, MelissaLuceno, JamesMiller, John Jackson",703,Random House Inc,English,9.25 x 6.10 x 1.50 Inches,
Promises in Death,$7.92 ,Books > Literature & Fiction > Fiction > Romance > Suspense,J. D. Robb,368,BerkleyPenguin Publishing Group,English,,5
Death Doesn't Bargain : A Deadman's Cross Novel,$22.30 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,Sherrilyn Kenyon,384,Tom Doherty AssociatesTor Books,English,,
Live to See Tomorrow,$5.53 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General","Johansen, Iris",408,St Martins Pr,English,7.00 x 4.50 x 1.25 Inches,
The Ocean at the End of the Lane,$9.17 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General > Best seller ranking: > # > 9563 >  > in > Books > # > 879 >  > in > Books > Literature & Fiction > # > 169 >  > in > Books > Literature & Fiction > General,"Gaiman, Neil",181,HarperCollins,English,8.00 x 5.50 x 0.75 Inches,4
Confessions of a Murder Suspect,$6.36 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",James PattersonMaxine Paetro,352,"Little, Brown and Companyjimmy patterson",English,6.75 x 4.25 x 1.00 Inches (US),5
The Crimson Sword,$8.89 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Thompson, Eldon",712,HarperCollins,English,6.75 x 4.00 x 2.00 Inches,
A Superior Death,$7.70 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Nevada Barr,320,BerkleyPenguin Publishing Group,English,,
Nothing To Lose: (Jack Reacher 12) (Audio CD),$17.97 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Child, Lee, Shale, Kerry",,Cornerstone,,,
Wait Till Your Vampire Gets Home,$7.99 ,Books > Literature & Fiction > Fiction > Romance > Paranormal,Michele Bardsley,352,BerkleyPenguin Publishing Group,English,,
Fever Dream,$9.78 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",Douglas PrestonLincoln Child,576,Grand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),
Taken,$10.91 ,Books > Literature & Fiction > Fiction > Romance > Suspense,"Henderson, Dee",424,Baker Pub Group,English,8.75 x 5.75 x 1.25 Inches,
MURDER ON THE ORIENT EXPRMTI,$7.16 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional","CHRISTIE, AGATHA",304,HarperCollins,English,4.19 x 7.50 x 8.00 Inches,
The Blackbirds,$12.98 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,Eric Jerome Dickey,544,DuttonPenguin Publishing Group,English,8.00 x 5.30 x 1.10 Inches (US),
Fatally Flaky,$7.92 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Davidson, Diane Mott",415,HarperCollins,English,6.75 x 4.25 x 1.00 Inches,
"FIX, THE",$8.58 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",David Baldacci,528,VisionGrand Central Publishing,English,7.62 x 4.25 x 1.12 Inches (US),
A Night Without Stars,$8.76 ,Books > Literature & Fiction > Fiction > Action & Adventure,"Hamilton, Peter F.",704,Random House,English,7.50 x 4.75 x 1.25 Inches,
"LAST JEDI: STAR WARS, THE",$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"REAVES, MICHAEL",496,Random House,English,7.00 x 4.25 x 1.25 Inches,5
Aliens Abroad,$7.19 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Gini Koch,608,DAW,English,6.75 x 4.19 x 1.41 Inches (US),
The Wise Man's Fear,$6.80 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 4634 >  > in > Books > # > 359 >  > in > Books > Literature & Fiction > # > 36 >  > in > Books > Literature & Fiction > Fantasy,Patrick Rothfuss,1120,DAW,English,6.75 x 4.19 x 1.81 Inches (US),5
Shadows in the Night,$4.31 ,Books > Literature & Fiction > Fiction > Romance > Suspense,"Graham, Heather",256,Harlequin Books,English,4.21 x 6.62 x 0.59 Inches,
Takedown Twenty (Stephanie Plum 20) (Paperback),$13.09 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Evanovich, Janet",,Headline Publishing Group,,,
Dune (Paperback),$16.47 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Herbert, Frank",,Hodder &amp;amp; Stoughton General Division,,,
Reaper's Gale,$10.08 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Steven Erikson,1280,Tom Doherty AssociatesTor Fantasy,English,178.05 x 104.90 x 52.96 Millimeters,
ODD THOMAS,$9.64 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 2812 >  > in > Books > # > 12 >  > in > Books > Mystery & Suspense > # > 6 >  > in > Books > Mystery & Suspense > Thrillers","KOONTZ, DEAN",480,Random House,English,7.50 x 4.75 x 1.25 Inches,4
A Discovery of Witches : A Novel,$20.23 ,Books > Literature & Fiction > Fiction > Occult & Supernatural,Deborah Harkness,592,VikingPenguin Publishing Group,English,9.25 x 6.31 x 1.63 Inches (US),4.8333
New York Station,$21.61 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage","Dudley, Lawrence",378,Blackstone Pub,English,9.75 x 6.75 x 1.75 Inches,
The Human Division,$10.42 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,John Scalzi,512,Tom Doherty AssociatesTor Science Fiction,English,173.23 x 4.29 x 27.81 Millimeters,
Eleanor Oliphant Is Completely Fine : A Novel,$18.16 ,Books > Literature & Fiction > Fiction > Contemporary Women,Gail Honeyman,336,Penguin Publishing GroupPamela Dorman Books,English,,
Night of the Wolf,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Borchardt, Alice",502,Random House,English,6.75 x 4.25 x 1.00 Inches,
When the English Fall : A Novel,$14.47 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Apocalyptic & Post-Apocalyptic,David Williams,256,Algonquin Books,English,8.25 x 139.70 x 0.75 Inches (US),
Strong Motion: A Novel,$4.99 ,Books > Literature & Fiction > Fiction > General,"Franzen, Jonathan",508,St Martins Pr,English,5.75 x 8.50 x 1.50 Inches,
Is It Wrong to Try to Pick Up Girls in a Dungeon?,$11.97 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,Fujino Omori,240,Yen PressYen On,English,,
Junior Encyclopedia of Animated Characters,$8.80 ,Books > Literature & Fiction > Fiction > General > Best seller ranking: > # > 389 >  > in > Books > # > 32 >  > in > Books > Literature & Fiction > # > 5 >  > in > Books > Literature & Fiction > General,Disney Book Group,144,Disney Press,English,,5
"Echoes in Death : An Eve Dallas Novel (In Death, Book 44)",$6.48 ,Books > Literature & Fiction > Fiction > Romance > Suspense,J.D. Robb,416,St. Martin's PressSt. Martin's Paperbacks,English,172.72 x 4.10 x 1.10 Millimeters,
Red Rising,$9.94 ,Books > Literature & Fiction > Fiction > Action & Adventure,"Brown, Pierce",400,Random House Inc,English,8.25 x 5.50 x 1.00 Inches,
"FALLEN ANGEL, THE",$8.92 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","SILVA, DANIEL",464,HarperCollins,English,7.00 x 4.00 x 1.00 Inches,
Heartbeat,$8.12 ,Books > Literature & Fiction > Fiction > Contemporary Women,"Steel, Danielle",416,Random House,English,6.75 x 4.00 x 1.20 Inches,
Cross Country (Alex Cross),$9.89 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 5992 >  > in > Books > # > 44 >  > in > Books > Mystery & Suspense > # > 6 >  > in > Books > Mystery & Suspense > Suspense",James Patterson,448,VisionGrand Central Publishing,English,7.75 x 4.25 x 1.50 Inches (US),5
Markswoman,$10.99 ,Books > Literature & Fiction > Fiction > Action & Adventure,"Mehrotra, Rati",368,HarperCollins,English,8.00 x 5.00 x 1.00 Inches,
Wicked Ties,$13.65 ,Books > Literature & Fiction > Fiction > Romance > Contemporary > Best seller ranking: > # > 60097 >  > in > Books > # > 549 >  > in > Books > History > # > 122 >  > in > Books > History > World,Shayla Black,352,Penguin Group USA,English,2.00 x 10.00 x 8.00 Inches,
Succubus Revealed,$13.14 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Mead, Richelle",277,Kensington Pub Corp,English,5.50 x 8.00 x 0.75 Inches,
Soul of the Fire,$7.19 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Terry Goodkind,800,Tom Doherty AssociatesTor Fantasy,English,169.16 x 4.18 x 1.68 Millimeters,
The Magician King : A Novel (TV Tie-In),$10.87 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Lev Grossman,432,Penguin BooksPenguin Publishing Group,English,8.60 x 5.70 x 1.20 Inches (US),
His Secret Son,$3.21 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,"Jackson, Brenda",224,Harlequin Books,English,4.21 x 6.62 x 0.50 Inches,
Behind Closed Doors,$9.46 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General","Paris, B. A.",399,Christian Large Print,,5.75 x 8.50 x 1.00 Inches,
Murder at Myrtle Hill Plantation,$10.76 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Ray, Robert",208,Dragon Tree Books,English,5.51 x 0.48 x 8.50 Inches,
La oruga muy hambrienta : Board Book,$8.70 ,Books > Libros en Espanol > Literatura y Ficción > Best seller ranking: > # > 7422 >  > in > Books > # > 668 >  > in > Books > Literature & Fiction > # > 121 >  > in > Books > Literature & Fiction > General,Eric Carle,16,Philomel BooksPenguin Young Readers Group,Spanish,,3
Due or Die,$7.97 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Jenn McKinlay,304,BerkleyPenguin Publishing Group,English,,
Day Shift,$8.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Paranormal,Charlaine Harris,400,AcePenguin Publishing Group,English,7.56 x 4.25 x 1.00 Inches (US),
The Name of the Wind,$11.55 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Patrick Rothfuss,672,DAW,English,9.00 x 6.00 x 1.40 Inches (US),5
Metro 2034,$12.82 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Glukhovsky, Dmitry",320,Orion Pub Co,Russian,5.00 x 7.75 x 1.00 Inches,
Chainfire,$8.09 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Goodkind, Terry",756,Tor Books,English,6.75 x 4.25 x 1.25 Inches,
"COMPANIONS: THE SUNDERING, BOOK I, THE",$6.60 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"SALVATORE, R. A.",464,Wizards of the Coast,English,7.00 x 4.00 x 1.25 Inches,
By Order of the President,$8.97 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",W.E.B. Griffin,624,Penguin Publishing GroupG.P. Putnam's Sons,English,6.75 x 4.25 x 1.00 Inches (US),
EXTINCTION WAR,$8.51 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Nicholas Sansbury Smith,464,Orbit,English,7.50 x 4.25 x 1.25 Inches (US),
Scourged,$17.70 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,"Hearne, Kevin",224,Random House Inc,English,,
Assassin's Apprentice,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Hobb, Robin",464,Random House,English,7.00 x 4.25 x 1.00 Inches,5
OTHELLO,$3.61 ,"Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 18401 >  > in > Books > # > 727 >  > in > Books > Art, Music & Photography > # > 62 >  > in > Books > Art, Music & Photography > Performing Arts",William Shakespeare,368,Simon &amp; Schuster,English,6.75 x 4.19 x 25.40 Inches (US),5
Death by Tea,$7.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Erickson, Alex",315,Kensington Pub Corp,English,5.00 x 3.00 x 1.00 Inches,
Legion,$9.40 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Jamie Sawyer,512,Orbit,English,7.50 x 4.25 x 1.25 Inches (US),
Assassin's Price,$9.71 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"L. E. Modesitt, Jr.",528,Tom Doherty AssociatesTor Books,,243.84 x 6.49 x 1.65 Millimeters,
The Fellowship of the Ring: Being the First Part of the Lord of the Rings,$26.96 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Tolkien, J. R. R.",432,Houghton Mifflin Harcourt Publishing Company,English,,
And Eternity,$4.63 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Anthony, Piers",384,HarperCollins,English,6.75 x 4.50 x 0.75 Inches,
The Bad Daughter,$17.35 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Fielding, Joy",354,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,
After Earth,$7.42 ,Books > Literature & Fiction > Fiction > Action & Adventure,"David, Peter",401,Random House,English,7.50 x 4.75 x 1.00 Inches,
Freedom's Ransom,$7.31 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Anne McCaffrey,304,AcePenguin Publishing Group,English,,
Vanishing Games,$22.37 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Hobbs, Roger",289,Random House Inc,English,9.50 x 6.75 x 1.50 Inches,
The Fellowship of the Ring : Being the First Part of The Lord of the Rings,$12.66 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,J.R.R. Tolkien,432,Houghton Mifflin HarcourtMariner Books,English,8.25 x 139.70 x 1.02 Inches (US),
The Gathering Storm,$9.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Robert JordanBrandon Sanderson,1120,Tom Doherty AssociatesTor Books,English,174.50 x 109.98 x 45.85 Millimeters,5
"Beowulf: A Translation and Commentary, together with Sellic Spell (Hardcover)",$82.80 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Tolkien, J. R. R., Tolkien, Christopher",,HarperCollins Publishers,,,
The J. B. Collins Collection,$20.04 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Political",Joel C. Rosenberg,,"Tyndale House Publishers, Inc.",English,7.60 x 4.00 x 3.70 Inches (US),
Kushiel's Dart,$4.04 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Romantic,Jacqueline Carey,656,Tom Doherty AssociatesTor Books,English,9.20 x 154.69 x 1.21 Inches (US),
